Round,TestAcc
1,1.0
2,1.0
3,1.0
4,1.43
5,1.07
6,1.44
7,1.92
8,4.53
9,5.64
10,5.39
11,5.63
12,6.56
13,7.2
14,7.91
15,8.67
16,9.47
17,10.67
18,12.74
19,13.44
20,15.85
21,16.65
22,16.84
23,17.17
24,16.47
25,18.79
26,18.53
27,20.87
28,21.8
29,21.77
30,23.52
31,25.94
32,27.78
33,27.03
34,27.43
35,27.68
36,30.21
37,29.82
38,31.26
39,32.14
40,32.86
41,32.79
42,34.67
43,34.32
44,35.54
45,36.19
46,38.08
47,37.84
48,38.93
49,39.72
50,40.31
51,40.61
52,41.27
53,41.3
54,42.15
55,41.86
56,43.12
57,43.74
58,42.88
59,44.29
60,45.41
61,45.77
62,46.26
63,46.64
64,47.08
65,47.6
66,47.59
67,48.27
68,49.15
69,49.13
70,48.96
71,49.53
72,48.56
73,50.38
74,50.2
75,50.45
76,51.22
77,50.79
78,51.48
79,52.99
80,53.33
81,53.84
82,54.16
83,54.66
84,54.16
85,54.57
86,54.48
87,54.55
88,53.37
89,53.6
90,53.67
91,53.72
92,54.51
93,55.07
94,55.23
95,55.12
96,55.46
97,55.91
98,57.0
99,57.62
100,57.33
