Round,TestAcc
1,1.28
2,3.37
3,5.98
4,8.72
5,12.23
6,15.63
7,17.69
8,17.91
9,20.72
10,17.48
11,24.61
12,25.96
13,28.04
14,31.31
15,32.91
16,25.08
17,24.39
18,25.42
19,37.15
20,38.38
21,41.02
22,42.25
23,43.28
24,41.43
25,41.67
26,38.07
27,45.51
28,42.07
29,48.65
30,46.32
31,48.31
32,48.29
33,45.33
34,49.94
35,50.76
36,51.57
37,52.74
38,50.11
39,53.63
40,52.99
41,52.5
42,52.48
43,52.97
44,54.42
45,54.61
46,55.68
47,55.85
48,57.64
49,52.8
50,51.0
51,53.21
52,56.57
53,57.25
54,58.55
55,58.72
56,57.33
57,59.26
58,57.6
59,56.57
60,58.63
61,59.84
62,60.54
63,59.71
64,60.84
65,60.24
66,59.04
67,60.43
68,59.31
69,61.37
70,60.13
71,61.18
72,60.97
73,61.22
74,55.78
75,62.03
76,61.28
77,62.63
78,62.93
79,63.15
80,63.2
81,63.6
82,64.13
83,63.87
84,63.03
85,63.81
86,63.43
87,63.85
88,62.99
89,63.01
90,63.53
91,63.47
92,62.22
93,64.62
94,64.55
95,64.32
96,65.12
97,65.2
98,62.52
99,63.55
100,63.94
