Round,TestAcc
1,1.0
2,2.58
3,2.77
4,4.9
5,4.73
6,5.09
7,7.15
8,6.9
9,9.7
10,9.33
11,14.1
12,12.45
13,14.22
14,13.91
15,20.63
16,22.39
17,19.19
18,15.27
19,20.77
20,22.92
21,18.34
22,18.71
23,22.78
24,22.2
25,22.26
26,16.26
27,16.24
28,23.44
29,31.1
30,31.56
31,19.67
32,28.76
33,29.51
34,38.66
35,40.74
36,37.94
37,38.1
38,41.25
39,43.95
40,24.75
41,43.19
42,41.57
43,44.54
44,27.91
45,45.05
46,37.96
47,46.65
48,46.44
49,47.75
50,35.46
51,44.01
52,49.25
53,49.06
54,50.94
55,51.2
56,52.4
57,37.16
58,37.83
59,38.7
60,43.44
61,52.22
62,36.98
63,42.29
64,38.03
65,53.4
66,51.07
67,41.14
68,48.43
69,48.06
70,47.33
71,54.22
72,46.01
73,52.56
74,51.97
75,54.12
76,46.42
77,48.31
78,56.15
79,55.03
80,57.05
81,51.52
82,54.08
83,55.81
84,56.16
85,57.57
86,49.98
87,48.93
88,57.16
89,59.18
90,46.52
91,46.67
92,52.22
93,56.66
94,58.36
95,59.54
96,53.2
97,58.87
98,48.47
99,49.19
100,61.51
