Round,TestAcc
1,1.74
2,3.77
3,7.19
4,9.08
5,11.38
6,15.63
7,18.02
8,18.57
9,23.4
10,25.87
11,27.52
12,28.53
13,30.88
14,33.5
15,35.22
16,36.36
17,38.8
18,39.09
19,41.49
20,42.27
21,43.54
22,44.96
23,46.11
24,45.88
25,47.27
26,48.69
27,49.22
28,48.98
29,50.02
30,50.87
31,50.92
32,51.64
33,51.6
34,52.93
35,53.57
36,53.96
37,54.55
38,54.03
39,54.47
40,54.61
41,55.66
42,55.9
43,56.18
44,56.23
45,56.8
46,57.46
47,57.58
48,58.23
49,58.58
50,59.28
51,59.42
52,59.51
53,59.36
54,59.92
55,59.87
56,60.36
57,60.17
58,60.58
59,60.87
60,60.91
61,61.24
62,61.97
63,62.05
64,62.16
65,62.53
66,62.68
67,62.73
68,63.28
69,62.94
70,62.98
71,63.07
72,63.72
73,63.63
74,63.6
75,63.91
76,64.27
77,64.37
78,64.61
79,64.87
80,64.74
81,65.01
82,65.66
83,65.49
84,65.37
85,65.4
86,65.71
87,66.43
88,65.77
89,65.83
90,65.68
91,66.27
92,66.08
93,66.01
94,66.24
95,66.14
96,66.56
97,66.79
98,66.37
99,66.65
100,67.72
