Round,TestAcc
1,1.93
2,3.01
3,3.92
4,6.61
5,6.26
6,7.96
7,9.36
8,13.37
9,16.1
10,16.68
11,21.94
12,22.51
13,21.47
14,21.18
15,28.2
16,23.75
17,29.2
18,33.27
19,29.0
20,28.88
21,31.72
22,33.28
23,34.05
24,38.93
25,41.19
26,38.34
27,40.72
28,43.75
29,44.0
30,38.14
31,44.89
32,43.13
33,41.55
34,46.07
35,42.07
36,40.84
37,44.86
38,30.31
39,47.66
40,47.09
41,48.59
42,51.31
43,51.43
44,52.91
45,52.84
46,48.25
47,50.39
48,53.87
49,50.22
50,55.08
51,52.63
52,55.19
53,53.82
54,56.99
55,55.93
56,49.18
57,55.67
58,55.69
59,55.72
60,54.21
61,56.99
62,60.16
63,56.57
64,56.46
65,59.69
66,55.36
67,56.5
68,55.91
69,58.2
70,59.36
71,57.96
72,57.05
73,55.65
74,56.95
75,61.1
76,59.31
77,60.76
78,60.95
79,60.91
80,62.81
81,62.31
82,61.41
83,62.71
84,60.26
85,61.73
86,61.43
87,57.07
88,58.85
89,62.47
90,62.93
91,59.23
92,62.34
93,58.66
94,63.58
95,62.38
96,64.04
97,64.63
98,61.73
99,64.04
100,63.49
