Round,TestAcc
1,1.43
2,3.91
3,6.9
4,8.92
5,11.8
6,15.0
7,17.45
8,20.04
9,23.07
10,26.17
11,27.19
12,28.52
13,31.76
14,34.25
15,35.67
16,37.6
17,39.26
18,39.53
19,41.48
20,42.51
21,43.98
22,44.74
23,46.0
24,46.78
25,46.55
26,48.24
27,48.82
28,48.32
29,50.6
30,50.8
31,50.89
32,51.75
33,51.61
34,52.74
35,53.57
36,54.08
37,54.15
38,54.04
39,54.82
40,54.62
41,55.72
42,55.82
43,56.24
44,56.96
45,57.0
46,57.39
47,57.66
48,57.74
49,58.08
50,58.98
51,58.37
52,58.51
53,59.37
54,59.6
55,59.57
56,59.89
57,60.24
58,60.32
59,60.78
60,60.87
61,61.22
62,60.82
63,61.55
64,62.13
65,61.67
66,62.13
67,62.17
68,62.86
69,62.83
70,63.39
71,62.59
72,63.45
73,63.48
74,63.04
75,63.24
76,63.75
77,64.09
78,64.5
79,64.12
80,64.04
81,64.86
82,64.83
83,64.77
84,64.59
85,64.57
86,65.11
87,65.5
88,65.14
89,65.65
90,65.56
91,65.81
92,65.38
93,65.83
94,65.62
95,65.32
96,66.0
97,66.31
98,65.72
99,66.33
100,66.6
