Round,TestAcc
1,1.41
2,3.9
3,6.45
4,9.22
5,11.54
6,15.54
7,17.22
8,19.84
9,22.77
10,25.35
11,27.29
12,28.53
13,31.41
14,34.18
15,35.15
16,37.36
17,39.19
18,39.48
19,41.25
20,42.21
21,43.07
22,44.81
23,46.2
24,46.94
25,47.03
26,48.25
27,49.25
28,48.55
29,50.17
30,50.57
31,51.16
32,51.58
33,51.46
34,52.41
35,53.07
36,53.55
37,54.92
38,54.09
39,54.65
40,54.95
41,55.63
42,55.84
43,55.78
44,56.29
45,57.33
46,57.94
47,58.26
48,58.4
49,58.5
50,59.13
51,58.92
52,59.2
53,59.89
54,60.14
55,59.87
56,60.35
57,60.03
58,60.92
59,60.43
60,60.84
61,60.89
62,61.41
63,62.46
64,62.19
65,62.24
66,62.43
67,61.97
68,62.75
69,62.8
70,62.98
71,62.63
72,62.76
73,63.38
74,62.83
75,63.64
76,63.54
77,64.07
78,64.02
79,64.84
80,64.0
81,64.66
82,64.73
83,65.14
84,64.93
85,64.93
86,64.97
87,65.7
88,65.49
89,65.56
90,65.67
91,65.76
92,65.54
93,65.55
94,65.73
95,65.32
96,66.31
97,66.36
98,66.22
99,66.26
100,66.76
