Round,TestAcc
1,0.99
2,1.01
3,1.16
4,1.58
5,1.84
6,2.06
7,3.81
8,4.67
9,5.48
10,5.3
11,5.49
12,5.75
13,6.53
14,7.7
15,9.37
16,11.86
17,15.1
18,15.65
19,16.21
20,16.24
21,16.45
22,16.55
23,17.8
24,20.42
25,20.84
26,24.18
27,24.88
28,25.8
29,27.64
30,28.54
31,28.78
32,29.81
33,30.34
34,31.84
35,33.26
36,33.58
37,34.55
38,35.45
39,35.35
40,36.6
41,36.93
42,37.98
43,39.02
44,40.25
45,40.73
46,40.44
47,41.62
48,42.28
49,42.7
50,43.45
51,43.22
52,44.41
53,45.11
54,45.2
55,45.63
56,45.29
57,46.63
58,46.4
59,46.97
60,46.86
61,48.88
62,48.56
63,48.69
64,48.96
65,49.83
66,49.91
67,49.84
68,50.33
69,51.25
70,51.31
71,52.41
72,51.65
73,52.92
74,52.66
75,52.78
76,53.82
77,54.11
78,54.38
79,54.53
80,54.66
81,54.77
82,54.96
83,55.01
84,55.53
85,54.82
86,55.91
87,56.14
88,56.01
89,56.95
90,56.45
91,57.2
92,57.45
93,57.09
94,57.06
95,56.95
96,58.23
97,58.46
98,57.85
99,58.5
100,58.71
