Round,TestAcc
1,1.51
2,4.34
3,6.27
4,9.13
5,12.2
6,14.88
7,17.3
8,19.37
9,23.42
10,24.57
11,28.04
12,29.01
13,30.51
14,33.82
15,35.72
16,37.4
17,38.27
18,40.68
19,40.42
20,42.2
21,43.34
22,44.72
23,45.17
24,46.43
25,47.36
26,47.93
27,48.51
28,48.25
29,50.3
30,50.27
31,51.2
32,50.75
33,52.1
34,52.9
35,53.05
36,53.73
37,53.65
38,53.41
39,55.15
40,54.53
41,55.94
42,55.76
43,56.22
44,56.29
45,55.96
46,57.66
47,57.81
48,58.01
49,58.01
50,58.28
51,59.19
52,59.14
53,59.36
54,59.69
55,59.62
56,60.01
57,59.29
58,60.24
59,60.43
60,60.31
61,61.24
62,61.23
63,61.5
64,61.73
65,61.81
66,62.81
67,62.89
68,62.8
69,62.9
70,62.51
71,63.39
72,62.99
73,63.59
74,63.41
75,63.36
76,64.28
77,64.05
78,64.36
79,65.2
80,64.5
81,65.23
82,64.31
83,65.27
84,65.01
85,65.03
86,65.32
87,65.82
88,66.45
89,65.75
90,65.7
91,66.05
92,66.34
93,66.35
94,66.23
95,66.85
96,66.46
97,66.49
98,66.49
99,67.02
100,67.2
