Round,TestAcc
1,1.47
2,4.36
3,6.5
4,8.38
5,11.21
6,14.56
7,16.83
8,19.5
9,23.21
10,24.15
11,26.9
12,28.53
13,31.01
14,32.69
15,35.17
16,36.46
17,37.98
18,40.0
19,40.36
20,41.21
21,42.9
22,43.92
23,43.92
24,45.36
25,46.43
26,46.91
27,48.06
28,48.3
29,49.9
30,49.37
31,50.5
32,50.25
33,51.05
34,52.42
35,52.41
36,53.03
37,52.8
38,52.97
39,54.06
40,54.52
41,54.97
42,54.96
43,55.79
44,55.91
45,55.96
46,56.97
47,57.49
48,57.27
49,57.58
50,57.69
51,58.51
52,58.73
53,58.76
54,58.89
55,58.78
56,59.81
57,59.19
58,60.36
59,60.12
60,60.25
61,60.57
62,61.08
63,60.95
64,61.27
65,61.8
66,61.8
67,62.57
68,61.86
69,62.38
70,62.37
71,62.65
72,62.64
73,62.99
74,63.32
75,63.18
76,62.97
77,63.46
78,64.51
79,64.47
80,63.65
81,64.48
82,64.2
83,64.73
84,64.4
85,64.17
86,64.21
87,64.37
88,64.95
89,64.41
90,64.59
91,64.82
92,65.46
93,65.24
94,65.42
95,66.21
96,65.4
97,66.03
98,65.99
99,66.43
100,65.86
