Round,TestAcc
1,1.73
2,4.61
3,6.75
4,8.4
5,12.34
6,14.51
7,16.76
8,20.46
9,23.43
10,24.43
11,27.01
12,28.58
13,32.01
14,33.83
15,35.56
16,37.55
17,38.36
18,40.52
19,40.91
20,42.18
21,43.06
22,44.71
23,44.66
24,46.24
25,46.82
26,46.94
27,48.37
28,48.92
29,49.99
30,49.58
31,50.97
32,50.85
33,52.12
34,53.11
35,52.3
36,53.75
37,53.49
38,53.99
39,55.28
40,55.24
41,55.84
42,55.55
43,55.64
44,56.01
45,56.54
46,57.45
47,57.65
48,57.56
49,57.59
50,58.56
51,58.72
52,58.92
53,59.19
54,59.64
55,59.74
56,60.1
57,60.17
58,60.12
59,60.08
60,60.83
61,61.52
62,61.26
63,61.75
64,61.7
65,61.9
66,62.01
67,62.82
68,62.43
69,62.97
70,62.99
71,63.61
72,62.89
73,63.51
74,63.36
75,63.59
76,63.93
77,64.12
78,64.33
79,64.78
80,64.33
81,64.9
82,64.71
83,65.15
84,65.11
85,65.16
86,64.98
87,65.39
88,65.91
89,65.49
90,65.77
91,65.54
92,65.94
93,66.01
94,65.82
95,66.28
96,66.52
97,66.8
98,66.5
99,66.72
100,66.92
