Round,TestAcc
1,1.29
2,4.55
3,7.1
4,6.89
5,12.19
6,14.27
7,17.48
8,18.13
9,20.17
10,24.34
11,26.51
12,23.85
13,26.25
14,27.98
15,33.4
16,34.47
17,36.04
18,36.97
19,39.69
20,37.13
21,41.26
22,42.36
23,43.78
24,41.27
25,45.75
26,42.65
27,46.96
28,46.97
29,47.2
30,47.53
31,46.57
32,48.24
33,49.88
34,50.53
35,51.88
36,51.75
37,52.76
38,51.58
39,53.6
40,53.09
41,52.87
42,55.12
43,54.28
44,55.25
45,54.33
46,56.76
47,55.65
48,57.4
49,55.59
50,57.66
51,58.41
52,56.76
53,56.84
54,59.1
55,58.63
56,57.94
57,59.37
58,59.87
59,59.09
60,59.55
61,59.83
62,60.46
63,60.59
64,61.38
65,61.06
66,60.24
67,61.53
68,60.83
69,62.09
70,60.62
71,61.98
72,61.82
73,62.45
74,61.67
75,62.54
76,63.18
77,62.43
78,62.79
79,63.59
80,63.89
81,64.22
82,64.29
83,64.82
84,64.21
85,64.27
86,64.28
87,64.76
88,64.21
89,63.49
90,64.7
91,64.49
92,65.59
93,65.11
94,65.08
95,65.48
96,65.7
97,66.24
98,65.15
99,65.86
100,65.71
