Round,TestAcc
1,1.21
2,3.39
3,3.2
4,5.27
5,7.04
6,8.67
7,7.32
8,12.74
9,9.65
10,16.1
11,16.36
12,18.9
13,21.45
14,17.76
15,21.58
16,20.91
17,24.71
18,23.49
19,25.97
20,29.74
21,30.29
22,24.84
23,21.3
24,32.7
25,37.11
26,33.7
27,31.42
28,30.63
29,40.09
30,36.03
31,40.19
32,41.84
33,39.91
34,45.73
35,45.25
36,47.44
37,40.49
38,48.08
39,43.36
40,44.27
41,51.11
42,41.24
43,47.22
44,45.5
45,51.14
46,37.61
47,49.66
48,51.91
49,52.54
50,42.29
51,48.81
52,49.54
53,50.61
54,53.6
55,52.63
56,54.0
57,50.26
58,55.03
59,49.46
60,53.11
61,56.65
62,48.33
63,55.67
64,53.8
65,57.64
66,56.47
67,47.49
68,57.41
69,53.51
70,54.87
71,57.38
72,54.3
73,57.84
74,55.62
75,59.36
76,58.07
77,59.25
78,58.99
79,54.8
80,61.59
81,52.15
82,60.12
83,60.47
84,58.25
85,56.89
86,60.78
87,59.74
88,61.82
89,60.42
90,58.36
91,60.49
92,60.46
93,59.44
94,59.85
95,62.16
96,62.1
97,62.15
98,56.49
99,59.61
100,63.57
