Round,TestAcc
1,1.84
2,2.9
3,2.64
4,5.29
5,6.27
6,9.09
7,10.31
8,10.95
9,15.02
10,18.11
11,20.82
12,23.23
13,22.47
14,21.75
15,24.42
16,20.88
17,26.16
18,23.92
19,28.46
20,32.34
21,30.52
22,36.48
23,34.43
24,38.32
25,41.37
26,40.01
27,43.0
28,37.73
29,41.6
30,38.44
31,43.78
32,45.18
33,37.94
34,44.79
35,46.34
36,42.62
37,46.74
38,43.36
39,43.67
40,48.76
41,47.33
42,47.29
43,48.15
44,50.62
45,49.22
46,51.73
47,46.45
48,50.56
49,44.64
50,50.31
51,51.85
52,52.99
53,47.14
54,53.51
55,53.39
56,52.33
57,55.45
58,55.07
59,56.0
60,51.34
61,57.85
62,57.64
63,56.89
64,57.84
65,58.8
66,55.37
67,55.59
68,53.43
69,58.1
70,54.1
71,58.49
72,57.86
73,55.36
74,55.12
75,60.25
76,57.94
77,58.79
78,59.11
79,58.5
80,59.07
81,60.41
82,60.54
83,62.24
84,52.41
85,59.55
86,62.22
87,59.03
88,58.02
89,60.95
90,61.75
91,62.57
92,61.04
93,57.06
94,63.52
95,61.66
96,62.05
97,62.61
98,61.31
99,60.91
100,62.51
