Round,TestAcc
1,0.98
2,1.0
3,1.28
4,1.35
5,1.33
6,1.62
7,2.72
8,4.33
9,4.87
10,4.77
11,4.84
12,5.2
13,6.0
14,6.85
15,8.62
16,9.16
17,10.36
18,11.51
19,12.32
20,13.12
21,13.96
22,15.13
23,15.87
24,16.5
25,16.78
26,17.79
27,18.46
28,18.75
29,18.93
30,19.53
31,20.09
32,21.58
33,21.69
34,23.02
35,23.98
36,25.27
37,25.95
38,26.56
39,26.94
40,27.32
41,28.77
42,28.78
43,29.9
44,30.24
45,30.59
46,30.77
47,31.85
48,32.25
49,32.97
50,33.55
51,34.19
52,34.89
53,35.04
54,35.29
55,36.08
56,36.78
57,37.27
58,36.98
59,38.67
60,39.19
61,39.62
62,39.66
63,40.18
64,40.99
65,41.56
66,41.77
67,41.7
68,42.79
69,42.65
70,43.69
71,44.17
72,44.26
73,44.32
74,44.47
75,44.69
76,45.33
77,45.45
78,45.57
79,45.58
80,46.22
81,47.16
82,47.57
83,47.66
84,47.64
85,47.61
86,48.55
87,48.63
88,48.43
89,48.88
90,49.57
91,50.19
92,49.79
93,49.86
94,50.36
95,50.51
96,50.92
97,51.48
98,51.18
99,51.23
100,51.94
