Round,TestAcc
1,1.41
2,3.43
3,5.41
4,7.32
5,8.65
6,10.49
7,12.82
8,15.08
9,16.21
10,19.34
11,19.42
12,21.36
13,22.79
14,25.66
15,26.5
16,26.26
17,29.73
18,31.23
19,30.82
20,33.31
21,34.93
22,35.25
23,37.11
24,36.61
25,38.6
26,39.61
27,40.21
28,41.37
29,42.37
30,42.94
31,43.67
32,44.73
33,44.73
34,45.88
35,45.93
36,46.59
37,47.28
38,48.46
39,47.63
40,47.84
41,48.68
42,49.67
43,50.2
44,50.21
45,50.65
46,51.52
47,51.2
48,50.95
49,51.96
50,52.31
51,52.69
52,53.34
53,53.26
54,53.11
55,54.27
56,52.32
57,54.43
58,54.77
59,55.17
60,55.07
61,55.64
62,55.71
63,55.84
64,55.86
65,56.55
66,56.83
67,57.1
68,57.25
69,57.82
70,57.35
71,57.54
72,57.82
73,57.95
74,58.03
75,58.58
76,58.36
77,58.94
78,59.14
79,58.91
80,59.19
81,59.69
82,59.81
83,59.42
84,59.93
85,60.05
86,60.15
87,60.61
88,60.69
89,60.84
90,61.25
91,60.9
92,61.46
93,61.41
94,61.92
95,61.59
96,61.13
97,61.83
98,61.96
99,62.03
100,61.81
