Round,TestAcc
1,1.45
2,3.35
3,5.27
4,6.79
5,8.51
6,9.93
7,12.24
8,13.89
9,14.62
10,17.1
11,17.81
12,18.95
13,20.5
14,22.46
15,23.12
16,21.97
17,21.22
18,23.77
19,23.66
20,26.25
21,26.49
22,28.26
23,29.06
24,27.95
25,28.42
26,29.18
27,30.47
28,31.09
29,32.92
30,34.06
31,34.07
32,35.15
33,35.14
34,36.8
35,36.54
36,38.13
37,39.17
38,40.44
39,40.44
40,39.43
41,39.16
42,38.08
43,39.72
44,39.2
45,40.77
46,40.72
47,42.04
48,42.09
49,41.78
50,42.19
51,43.33
52,44.05
53,44.66
54,44.59
55,45.04
56,41.91
57,41.13
58,42.09
59,43.08
60,44.53
61,45.43
62,45.96
63,46.59
64,45.85
65,46.04
66,46.52
67,48.26
68,48.43
69,49.13
70,48.41
71,48.98
72,49.2
73,47.93
74,47.56
75,48.64
76,49.13
77,50.02
78,49.32
79,49.82
80,50.13
81,50.74
82,50.24
83,50.35
84,51.02
85,51.91
86,52.23
87,52.36
88,51.95
89,51.7
90,52.06
91,51.32
92,52.1
93,51.85
94,52.26
95,52.83
96,52.58
97,53.99
98,54.03
99,53.96
100,53.48
