Round,TestAcc
1,1.42
2,3.5
3,5.55
4,7.37
5,9.26
6,10.61
7,13.07
8,15.2
9,15.97
10,19.48
11,20.06
12,21.62
13,23.0
14,25.33
15,26.96
16,26.01
17,29.55
18,31.49
19,31.02
20,33.78
21,34.54
22,35.21
23,36.4
24,37.1
25,38.56
26,39.54
27,41.05
28,41.47
29,42.68
30,43.09
31,43.6
32,44.51
33,44.81
34,46.11
35,46.09
36,46.64
37,47.2
38,47.99
39,47.73
40,48.33
41,48.95
42,49.53
43,50.43
44,50.04
45,51.18
46,51.46
47,51.84
48,51.39
49,52.16
50,52.51
51,53.1
52,53.19
53,53.2
54,53.73
55,54.17
56,52.47
57,54.77
58,54.74
59,55.32
60,55.65
61,55.93
62,56.1
63,56.5
64,56.09
65,56.86
66,56.92
67,56.83
68,56.82
69,57.98
70,57.62
71,57.46
72,57.38
73,57.77
74,58.07
75,58.41
76,58.52
77,58.52
78,58.87
79,58.5
80,59.09
81,59.22
82,59.74
83,59.54
84,60.07
85,59.68
86,59.85
87,60.14
88,60.4
89,60.8
90,60.81
91,60.82
92,60.99
93,61.4
94,61.64
95,61.16
96,61.15
97,61.68
98,61.97
99,61.54
100,62.1
