Round,TestAcc
1,1.12
2,2.22
3,3.28
4,4.88
5,4.36
6,4.94
7,7.66
8,7.73
9,8.98
10,7.76
11,10.19
12,11.49
13,13.67
14,11.73
15,14.26
16,15.82
17,15.67
18,17.21
19,16.44
20,18.22
21,17.4
22,20.17
23,20.61
24,22.67
25,21.73
26,21.72
27,23.82
28,22.6
29,22.2
30,24.7
31,23.2
32,25.1
33,27.56
34,27.94
35,26.83
36,27.82
37,29.43
38,28.0
39,30.01
40,30.6
41,31.53
42,29.89
43,30.6
44,33.78
45,30.88
46,33.5
47,32.9
48,36.32
49,32.8
50,35.57
51,34.34
52,33.13
53,38.66
54,39.12
55,39.01
56,38.44
57,36.99
58,40.5
59,38.97
60,40.28
61,41.04
62,38.77
63,40.76
64,38.56
65,40.32
66,42.26
67,42.25
68,43.46
69,43.56
70,43.38
71,44.02
72,44.17
73,43.6
74,45.01
75,45.33
76,44.85
77,44.81
78,47.35
79,47.65
80,44.59
81,47.1
82,46.33
83,47.69
84,46.93
85,44.77
86,49.17
87,48.04
88,47.69
89,47.65
90,48.59
91,49.0
92,50.43
93,49.66
94,46.31
95,50.12
96,49.67
97,51.52
98,50.88
99,51.37
100,51.07
