Round,TestAcc
1,1.25
2,2.43
3,4.41
4,4.92
5,5.74
6,6.83
7,7.83
8,8.57
9,9.98
10,10.52
11,11.53
12,12.63
13,13.95
14,14.32
15,15.49
16,16.09
17,17.7
18,18.89
19,19.06
20,19.92
21,20.81
22,21.97
23,22.61
24,22.76
25,23.85
26,24.35
27,24.99
28,25.43
29,26.19
30,26.65
31,27.15
32,28.28
33,28.34
34,29.07
35,29.74
36,29.97
37,30.71
38,31.1
39,31.69
40,31.73
41,32.81
42,33.37
43,33.97
44,34.66
45,35.18
46,35.84
47,36.01
48,36.01
49,37.04
50,37.68
51,37.59
52,38.14
53,38.86
54,39.11
55,39.98
56,39.8
57,40.64
58,41.52
59,41.76
60,41.64
61,42.22
62,42.84
63,43.0
64,43.54
65,43.58
66,44.19
67,44.51
68,44.56
69,45.25
70,45.43
71,46.0
72,46.09
73,46.05
74,46.61
75,47.09
76,47.24
77,47.65
78,47.46
79,48.23
80,48.55
81,48.22
82,48.78
83,48.98
84,49.35
85,49.79
86,50.34
87,49.94
88,50.59
89,50.15
90,50.19
91,51.08
92,51.02
93,51.33
94,51.53
95,51.42
96,52.06
97,52.36
98,52.13
99,52.72
100,52.71
