Round,TestAcc
1,1.23
2,1.23
3,2.6
4,3.41
5,4.41
6,4.42
7,6.82
8,6.01
9,7.86
10,8.36
11,9.02
12,10.8
13,10.82
14,12.07
15,12.36
16,11.04
17,13.83
18,13.76
19,13.84
20,15.37
21,17.21
22,16.92
23,18.68
24,18.01
25,19.05
26,19.55
27,18.68
28,20.72
29,20.55
30,22.13
31,21.23
32,21.83
33,22.6
34,23.12
35,24.52
36,23.1
37,23.05
38,24.59
39,25.2
40,25.39
41,25.95
42,25.66
43,27.56
44,26.67
45,28.42
46,28.61
47,27.55
48,28.5
49,30.29
50,31.52
51,29.89
52,30.05
53,31.29
54,33.01
55,33.0
56,32.96
57,33.05
58,33.83
59,34.67
60,34.49
61,35.06
62,34.97
63,36.45
64,36.94
65,36.14
66,36.48
67,36.15
68,38.76
69,38.77
70,38.63
71,39.65
72,38.48
73,38.73
74,38.1
75,40.33
76,37.99
77,40.63
78,41.42
79,41.87
80,41.11
81,42.32
82,42.06
83,41.79
84,42.42
85,42.61
86,43.4
87,41.89
88,43.44
89,42.57
90,43.73
91,44.26
92,44.72
93,44.86
94,45.26
95,44.86
96,45.69
97,44.75
98,45.61
99,43.96
100,45.85
