Round,ExpertId
1,0
1,1
1,2
1,4
1,5
1,6
1,10
1,11
1,12
1,13
1,15
1,16
1,18
1,21
1,22
1,23
1,24
1,26
1,28
1,30
2,0
2,1
2,2
2,4
2,5
2,6
2,8
2,9
2,10
2,11
2,12
2,13
2,14
2,15
2,16
2,17
2,18
2,21
2,23
2,24
2,25
2,26
2,27
2,28
2,29
3,0
3,1
3,2
3,4
3,5
3,6
3,8
3,9
3,10
3,11
3,12
3,13
3,18
3,21
3,23
3,24
3,25
3,26
3,28
4,0
4,1
4,2
4,3
4,4
4,5
4,6
4,8
4,9
4,10
4,11
4,12
4,13
4,14
4,15
4,16
4,17
4,18
4,21
4,23
4,24
4,25
4,26
4,27
4,28
4,29
5,0
5,1
5,2
5,3
5,4
5,5
5,6
5,8
5,9
5,10
5,11
5,12
5,13
5,14
5,15
5,18
5,21
5,23
5,24
5,25
5,26
5,27
5,28
6,0
6,1
6,2
6,4
6,5
6,6
6,8
6,9
6,10
6,11
6,12
6,13
6,14
6,15
6,16
6,18
6,21
6,23
6,24
6,25
6,26
6,27
6,28
6,30
7,0
7,1
7,2
7,4
7,5
7,6
7,8
7,9
7,10
7,11
7,12
7,13
7,14
7,16
7,18
7,21
7,23
7,24
7,25
7,26
7,28
8,0
8,1
8,2
8,4
8,5
8,6
8,8
8,9
8,10
8,11
8,12
8,13
8,15
8,18
8,21
8,22
8,23
8,24
8,25
8,26
8,28
8,29
8,30
9,0
9,1
9,2
9,4
9,5
9,6
9,8
9,9
9,10
9,11
9,12
9,13
9,18
9,21
9,22
9,23
9,24
9,25
9,26
9,28
9,29
10,0
10,1
10,2
10,3
10,4
10,5
10,6
10,8
10,9
10,10
10,11
10,12
10,13
10,15
10,18
10,19
10,21
10,22
10,23
10,24
10,25
10,26
10,28
11,0
11,1
11,2
11,4
11,5
11,6
11,8
11,9
11,10
11,11
11,12
11,13
11,18
11,19
11,21
11,23
11,24
11,25
11,26
11,28
12,0
12,1
12,2
12,4
12,5
12,6
12,8
12,9
12,10
12,11
12,12
12,13
12,15
12,18
12,19
12,21
12,22
12,23
12,24
12,25
12,26
12,28
13,0
13,1
13,2
13,4
13,5
13,6
13,8
13,9
13,10
13,11
13,12
13,13
13,15
13,18
13,21
13,22
13,23
13,24
13,25
13,26
13,28
14,0
14,1
14,2
14,4
14,5
14,6
14,8
14,9
14,10
14,11
14,12
14,13
14,15
14,16
14,18
14,19
14,21
14,22
14,23
14,24
14,25
14,26
14,28
14,30
15,0
15,1
15,2
15,4
15,5
15,6
15,8
15,9
15,10
15,11
15,12
15,13
15,15
15,16
15,18
15,19
15,21
15,22
15,23
15,24
15,25
15,26
15,28
16,0
16,1
16,2
16,4
16,5
16,6
16,8
16,9
16,10
16,11
16,12
16,13
16,15
16,18
16,21
16,23
16,24
16,25
16,26
16,28
17,0
17,1
17,2
17,4
17,5
17,6
17,8
17,9
17,10
17,11
17,12
17,13
17,18
17,19
17,21
17,22
17,23
17,24
17,25
17,26
17,28
18,0
18,1
18,2
18,4
18,5
18,6
18,8
18,9
18,10
18,11
18,12
18,13
18,18
18,19
18,21
18,22
18,23
18,24
18,26
18,28
19,0
19,1
19,2
19,4
19,5
19,6
19,8
19,9
19,10
19,11
19,12
19,13
19,15
19,16
19,18
19,19
19,20
19,21
19,22
19,23
19,24
19,25
19,26
19,28
20,0
20,1
20,2
20,4
20,5
20,6
20,8
20,9
20,10
20,11
20,12
20,13
20,14
20,15
20,16
20,18
20,19
20,20
20,21
20,22
20,23
20,24
20,25
20,26
20,28
21,0
21,1
21,2
21,4
21,5
21,6
21,8
21,9
21,10
21,11
21,12
21,13
21,14
21,16
21,18
21,19
21,20
21,21
21,22
21,23
21,24
21,25
21,26
21,28
22,0
22,1
22,2
22,4
22,5
22,6
22,8
22,9
22,10
22,11
22,12
22,13
22,14
22,15
22,16
22,17
22,18
22,19
22,20
22,21
22,22
22,23
22,24
22,25
22,26
22,28
23,0
23,1
23,2
23,4
23,5
23,6
23,8
23,9
23,10
23,11
23,12
23,13
23,14
23,15
23,16
23,18
23,19
23,21
23,22
23,23
23,24
23,25
23,26
23,28
24,0
24,1
24,2
24,4
24,5
24,6
24,8
24,9
24,10
24,12
24,13
24,18
24,19
24,21
24,23
24,24
24,25
24,26
24,28
25,0
25,1
25,2
25,4
25,5
25,6
25,8
25,9
25,10
25,11
25,12
25,13
25,14
25,15
25,16
25,18
25,19
25,20
25,21
25,22
25,23
25,24
25,25
25,26
25,28
26,0
26,2
26,4
26,5
26,6
26,8
26,9
26,10
26,11
26,12
26,13
26,18
26,19
26,21
26,22
26,23
26,24
26,25
26,26
26,28
27,0
27,1
27,2
27,4
27,5
27,6
27,8
27,9
27,10
27,11
27,12
27,13
27,16
27,18
27,19
27,20
27,21
27,22
27,23
27,24
27,25
27,26
27,28
28,0
28,1
28,2
28,4
28,5
28,6
28,8
28,9
28,10
28,11
28,12
28,13
28,18
28,19
28,21
28,23
28,24
28,25
28,26
28,28
29,0
29,1
29,2
29,4
29,5
29,6
29,8
29,9
29,10
29,11
29,12
29,13
29,18
29,19
29,21
29,23
29,24
29,25
29,26
29,28
30,0
30,1
30,2
30,4
30,5
30,6
30,8
30,9
30,10
30,11
30,12
30,13
30,14
30,16
30,18
30,19
30,20
30,21
30,22
30,23
30,24
30,25
30,26
30,28
31,0
31,1
31,2
31,4
31,5
31,6
31,8
31,9
31,10
31,11
31,12
31,13
31,14
31,18
31,19
31,20
31,21
31,22
31,23
31,24
31,25
31,26
31,28
32,0
32,2
32,3
32,4
32,5
32,6
32,7
32,9
32,10
32,13
32,14
32,16
32,17
32,18
32,19
32,20
32,21
32,24
32,26
32,27
32,28
32,29
32,30
32,31
33,0
33,1
33,2
33,4
33,5
33,6
33,8
33,9
33,10
33,11
33,12
33,13
33,14
33,15
33,18
33,19
33,20
33,21
33,22
33,23
33,24
33,25
33,26
33,27
33,28
33,30
34,0
34,1
34,2
34,4
34,5
34,6
34,8
34,9
34,10
34,11
34,12
34,13
34,14
34,16
34,17
34,18
34,19
34,20
34,21
34,22
34,23
34,24
34,25
34,26
34,28
34,29
35,0
35,1
35,2
35,4
35,5
35,6
35,8
35,9
35,10
35,11
35,12
35,13
35,18
35,19
35,21
35,23
35,24
35,25
35,26
35,28
36,0
36,1
36,2
36,3
36,4
36,5
36,6
36,8
36,9
36,10
36,11
36,12
36,13
36,14
36,15
36,16
36,17
36,18
36,19
36,20
36,21
36,22
36,23
36,24
36,25
36,26
36,27
36,28
36,29
36,30
37,0
37,1
37,2
37,3
37,4
37,5
37,6
37,8
37,9
37,10
37,11
37,12
37,13
37,14
37,15
37,16
37,18
37,19
37,21
37,22
37,23
37,24
37,25
37,26
37,27
37,28
38,0
38,1
38,2
38,4
38,5
38,6
38,8
38,9
38,10
38,11
38,12
38,13
38,16
38,18
38,19
38,21
38,22
38,23
38,24
38,26
38,27
38,28
38,30
39,0
39,1
39,2
39,4
39,5
39,6
39,8
39,9
39,10
39,11
39,12
39,13
39,14
39,15
39,16
39,18
39,19
39,20
39,21
39,22
39,23
39,24
39,25
39,26
39,27
39,28
39,30
40,0
40,1
40,2
40,4
40,5
40,6
40,8
40,9
40,10
40,11
40,12
40,13
40,14
40,15
40,16
40,18
40,19
40,20
40,21
40,22
40,23
40,24
40,25
40,26
40,28
40,29
40,30
41,0
41,1
41,2
41,4
41,5
41,6
41,8
41,9
41,10
41,11
41,12
41,13
41,14
41,16
41,18
41,19
41,20
41,21
41,22
41,23
41,24
41,25
41,26
41,27
41,28
41,29
42,0
42,1
42,2
42,3
42,4
42,5
42,6
42,8
42,9
42,10
42,11
42,12
42,13
42,14
42,18
42,19
42,21
42,23
42,24
42,25
42,26
42,28
43,0
43,1
43,2
43,4
43,5
43,6
43,8
43,9
43,10
43,11
43,12
43,13
43,14
43,16
43,18
43,19
43,20
43,21
43,22
43,23
43,24
43,25
43,26
43,28
44,0
44,1
44,2
44,4
44,5
44,6
44,8
44,9
44,10
44,11
44,12
44,13
44,14
44,15
44,16
44,18
44,19
44,20
44,21
44,22
44,23
44,24
44,25
44,26
44,27
44,28
44,30
45,0
45,1
45,2
45,3
45,4
45,5
45,6
45,8
45,9
45,10
45,11
45,12
45,13
45,14
45,15
45,16
45,18
45,19
45,20
45,21
45,22
45,23
45,24
45,25
45,26
45,28
45,30
46,0
46,1
46,2
46,4
46,5
46,6
46,8
46,9
46,10
46,11
46,12
46,13
46,14
46,16
46,18
46,19
46,21
46,22
46,23
46,24
46,25
46,26
46,28
46,30
47,0
47,1
47,2
47,4
47,5
47,6
47,8
47,9
47,10
47,11
47,12
47,13
47,15
47,16
47,18
47,19
47,21
47,22
47,23
47,24
47,25
47,26
47,27
47,28
47,30
48,0
48,1
48,2
48,4
48,5
48,6
48,8
48,9
48,10
48,11
48,12
48,13
48,14
48,15
48,16
48,18
48,19
48,20
48,21
48,22
48,23
48,24
48,25
48,26
48,28
49,0
49,1
49,2
49,4
49,5
49,6
49,8
49,9
49,10
49,11
49,12
49,13
49,14
49,15
49,16
49,18
49,19
49,20
49,21
49,22
49,23
49,24
49,25
49,26
49,28
50,0
50,1
50,2
50,4
50,5
50,6
50,8
50,9
50,10
50,11
50,12
50,13
50,14
50,16
50,18
50,19
50,20
50,21
50,22
50,23
50,24
50,25
50,26
50,28
51,0
51,1
51,2
51,4
51,5
51,6
51,8
51,9
51,10
51,11
51,12
51,13
51,14
51,18
51,21
51,23
51,24
51,25
51,26
51,28
52,0
52,1
52,2
52,4
52,5
52,6
52,9
52,10
52,11
52,12
52,13
52,14
52,18
52,21
52,22
52,23
52,24
52,25
52,26
52,28
53,0
53,1
53,2
53,4
53,5
53,6
53,8
53,9
53,10
53,11
53,12
53,13
53,14
53,16
53,18
53,19
53,20
53,21
53,22
53,23
53,24
53,25
53,26
53,28
54,0
54,1
54,2
54,4
54,5
54,6
54,8
54,9
54,10
54,11
54,12
54,13
54,14
54,17
54,18
54,19
54,20
54,21
54,22
54,23
54,24
54,25
54,26
54,28
55,0
55,1
55,2
55,4
55,5
55,6
55,8
55,9
55,10
55,11
55,12
55,13
55,14
55,15
55,16
55,18
55,19
55,21
55,22
55,23
55,24
55,25
55,26
55,27
55,28
55,30
56,0
56,1
56,2
56,3
56,4
56,5
56,6
56,8
56,9
56,10
56,11
56,12
56,13
56,14
56,15
56,16
56,18
56,19
56,20
56,21
56,23
56,24
56,25
56,26
56,27
56,28
57,0
57,1
57,2
57,3
57,4
57,5
57,6
57,8
57,9
57,10
57,11
57,12
57,13
57,14
57,15
57,16
57,18
57,19
57,20
57,21
57,22
57,23
57,24
57,25
57,26
57,27
57,28
57,31
58,0
58,1
58,2
58,4
58,5
58,6
58,8
58,9
58,10
58,11
58,12
58,13
58,14
58,16
58,18
58,19
58,21
58,23
58,24
58,25
58,26
58,27
58,28
58,30
59,0
59,1
59,2
59,4
59,5
59,6
59,8
59,9
59,10
59,11
59,12
59,13
59,14
59,15
59,18
59,19
59,20
59,21
59,22
59,23
59,24
59,25
59,26
59,27
59,28
59,30
60,0
60,1
60,2
60,4
60,5
60,6
60,8
60,9
60,10
60,11
60,12
60,13
60,14
60,15
60,18
60,19
60,21
60,23
60,24
60,25
60,26
60,28
61,0
61,1
61,2
61,4
61,5
61,6
61,8
61,9
61,10
61,11
61,12
61,13
61,14
61,16
61,18
61,21
61,22
61,23
61,24
61,25
61,26
61,27
61,28
61,30
62,0
62,1
62,2
62,4
62,5
62,6
62,8
62,9
62,10
62,11
62,12
62,13
62,14
62,15
62,16
62,18
62,19
62,20
62,21
62,22
62,23
62,24
62,25
62,26
62,27
62,28
62,31
63,0
63,1
63,2
63,4
63,5
63,6
63,8
63,9
63,10
63,11
63,12
63,13
63,14
63,16
63,18
63,19
63,20
63,21
63,22
63,23
63,24
63,25
63,26
63,27
63,28
64,0
64,1
64,2
64,3
64,4
64,5
64,6
64,7
64,8
64,9
64,10
64,11
64,12
64,13
64,17
64,18
64,20
64,21
64,24
64,25
64,26
64,28
64,29
64,30
64,31
65,0
65,1
65,2
65,4
65,5
65,6
65,8
65,9
65,10
65,11
65,12
65,13
65,14
65,16
65,18
65,19
65,20
65,21
65,22
65,23
65,24
65,25
65,26
65,27
65,28
66,0
66,1
66,2
66,4
66,5
66,6
66,8
66,9
66,10
66,11
66,12
66,13
66,14
66,16
66,17
66,18
66,19
66,21
66,23
66,24
66,25
66,26
66,28
66,29
67,0
67,1
67,2
67,4
67,5
67,6
67,8
67,9
67,10
67,11
67,12
67,13
67,14
67,15
67,16
67,18
67,20
67,21
67,22
67,23
67,24
67,25
67,26
67,27
67,28
67,30
68,0
68,1
68,2
68,3
68,4
68,5
68,6
68,8
68,9
68,10
68,11
68,12
68,13
68,15
68,16
68,17
68,18
68,21
68,23
68,24
68,25
68,26
68,27
68,28
68,29
68,30
69,0
69,1
69,2
69,3
69,4
69,5
69,6
69,8
69,9
69,10
69,11
69,12
69,13
69,14
69,15
69,16
69,18
69,20
69,21
69,22
69,23
69,24
69,25
69,26
69,27
69,28
69,30
70,0
70,1
70,2
70,4
70,5
70,6
70,8
70,9
70,10
70,11
70,12
70,13
70,14
70,18
70,19
70,21
70,22
70,23
70,24
70,25
70,26
70,27
70,28
71,0
71,1
71,2
71,4
71,5
71,6
71,8
71,9
71,10
71,11
71,12
71,13
71,14
71,15
71,16
71,18
71,20
71,21
71,23
71,24
71,25
71,26
71,27
71,28
71,30
72,0
72,1
72,2
72,4
72,5
72,6
72,8
72,9
72,10
72,11
72,12
72,13
72,14
72,16
72,18
72,21
72,23
72,24
72,25
72,26
72,28
72,29
73,0
73,1
73,2
73,4
73,5
73,6
73,8
73,9
73,10
73,11
73,12
73,13
73,14
73,18
73,19
73,20
73,21
73,22
73,23
73,24
73,25
73,26
73,28
73,29
73,31
74,0
74,1
74,2
74,3
74,4
74,5
74,6
74,8
74,9
74,10
74,11
74,12
74,13
74,14
74,15
74,16
74,18
74,19
74,20
74,21
74,23
74,24
74,25
74,26
74,28
75,0
75,1
75,2
75,4
75,5
75,6
75,8
75,9
75,10
75,11
75,12
75,13
75,14
75,16
75,18
75,21
75,23
75,24
75,25
75,26
75,27
75,28
75,30
76,0
76,1
76,2
76,4
76,5
76,6
76,8
76,9
76,10
76,11
76,12
76,13
76,14
76,16
76,18
76,19
76,20
76,21
76,22
76,23
76,24
76,25
76,26
76,28
77,0
77,1
77,2
77,3
77,4
77,5
77,6
77,8
77,9
77,10
77,11
77,12
77,13
77,14
77,15
77,17
77,18
77,20
77,21
77,22
77,23
77,24
77,25
77,26
77,28
78,0
78,1
78,2
78,4
78,5
78,6
78,8
78,9
78,10
78,11
78,12
78,13
78,14
78,16
78,18
78,20
78,21
78,22
78,23
78,24
78,25
78,26
78,28
78,30
79,0
79,1
79,2
79,3
79,4
79,5
79,6
79,7
79,8
79,9
79,10
79,11
79,12
79,13
79,14
79,15
79,16
79,18
79,19
79,20
79,21
79,22
79,23
79,24
79,25
79,26
79,27
79,28
79,29
79,30
79,31
80,0
80,1
80,2
80,4
80,5
80,6
80,8
80,9
80,10
80,11
80,12
80,13
80,14
80,15
80,16
80,18
80,20
80,21
80,22
80,23
80,24
80,25
80,26
80,27
80,28
80,30
81,0
81,1
81,2
81,4
81,5
81,6
81,8
81,9
81,10
81,11
81,12
81,13
81,14
81,16
81,18
81,19
81,20
81,21
81,22
81,23
81,24
81,25
81,26
81,28
81,31
82,0
82,1
82,2
82,4
82,5
82,6
82,8
82,9
82,10
82,11
82,12
82,13
82,14
82,15
82,16
82,18
82,19
82,20
82,21
82,22
82,23
82,24
82,25
82,26
82,27
82,28
82,31
83,0
83,1
83,2
83,4
83,5
83,6
83,8
83,9
83,10
83,11
83,12
83,13
83,14
83,15
83,16
83,18
83,20
83,21
83,23
83,24
83,25
83,26
83,27
83,28
84,0
84,1
84,2
84,4
84,5
84,6
84,8
84,9
84,10
84,11
84,12
84,13
84,14
84,15
84,16
84,18
84,20
84,21
84,23
84,24
84,25
84,26
84,27
84,28
84,30
85,0
85,1
85,2
85,4
85,5
85,6
85,8
85,9
85,10
85,11
85,12
85,13
85,14
85,15
85,16
85,17
85,18
85,19
85,20
85,21
85,23
85,24
85,25
85,26
85,27
85,28
85,30
86,0
86,1
86,2
86,4
86,5
86,6
86,8
86,9
86,10
86,11
86,12
86,13
86,14
86,16
86,17
86,18
86,19
86,20
86,21
86,22
86,23
86,24
86,25
86,26
86,27
86,28
86,31
87,0
87,1
87,2
87,4
87,5
87,6
87,8
87,9
87,10
87,11
87,12
87,13
87,14
87,16
87,17
87,18
87,19
87,20
87,21
87,22
87,23
87,24
87,25
87,26
87,27
87,28
88,0
88,1
88,2
88,4
88,5
88,6
88,8
88,9
88,10
88,11
88,12
88,13
88,14
88,18
88,20
88,21
88,22
88,23
88,24
88,25
88,26
88,28
89,0
89,1
89,2
89,3
89,4
89,5
89,6
89,8
89,9
89,10
89,11
89,12
89,13
89,14
89,15
89,16
89,18
89,19
89,20
89,21
89,22
89,23
89,24
89,25
89,26
89,27
89,28
89,30
89,31
90,0
90,1
90,2
90,3
90,4
90,5
90,6
90,8
90,9
90,10
90,11
90,12
90,13
90,14
90,15
90,16
90,17
90,18
90,20
90,21
90,23
90,24
90,25
90,26
90,27
90,28
90,30
91,0
91,1
91,2
91,4
91,5
91,6
91,8
91,9
91,10
91,11
91,12
91,13
91,14
91,16
91,18
91,21
91,23
91,24
91,25
91,26
91,28
91,30
92,0
92,1
92,2
92,4
92,5
92,6
92,8
92,9
92,10
92,11
92,12
92,13
92,14
92,15
92,16
92,18
92,20
92,21
92,23
92,24
92,25
92,26
92,27
92,28
92,30
93,0
93,1
93,2
93,4
93,5
93,6
93,8
93,9
93,10
93,11
93,12
93,13
93,14
93,15
93,18
93,21
93,23
93,24
93,25
93,26
93,27
93,28
94,0
94,1
94,2
94,4
94,5
94,6
94,8
94,9
94,10
94,11
94,12
94,13
94,14
94,15
94,16
94,17
94,18
94,19
94,20
94,21
94,23
94,24
94,25
94,26
94,27
94,28
94,29
94,30
95,0
95,1
95,2
95,3
95,4
95,5
95,6
95,8
95,9
95,10
95,11
95,12
95,13
95,14
95,16
95,18
95,19
95,20
95,21
95,22
95,23
95,24
95,25
95,26
95,27
95,28
95,30
95,31
96,0
96,1
96,2
96,3
96,4
96,5
96,6
96,7
96,8
96,9
96,10
96,11
96,12
96,13
96,14
96,16
96,17
96,18
96,21
96,23
96,24
96,25
96,26
96,27
96,28
96,29
96,31
97,0
97,1
97,2
97,4
97,5
97,6
97,8
97,9
97,10
97,11
97,12
97,13
97,14
97,16
97,18
97,20
97,21
97,23
97,24
97,25
97,26
97,28
98,0
98,1
98,2
98,4
98,5
98,6
98,8
98,9
98,10
98,11
98,12
98,13
98,14
98,17
98,18
98,21
98,23
98,24
98,25
98,26
98,28
98,29
99,0
99,1
99,2
99,4
99,5
99,6
99,8
99,9
99,10
99,11
99,12
99,13
99,14
99,16
99,18
99,21
99,23
99,24
99,25
99,26
99,28
99,31
100,0
100,1
100,2
100,3
100,4
100,5
100,6
100,8
100,9
100,10
100,11
100,12
100,13
100,14
100,15
100,16
100,17
100,18
100,20
100,21
100,23
100,24
100,25
100,26
100,27
100,28
100,29
