Round,TestAcc,AvgLoss,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,RoundTimeSec,ClientTrainTimesSec
1,1.99,3.714217035562464,51.1084,0.134,1.1559,52.3996,"5.7979,4.3940,5.9730,4.6687,4.4632,3.7897,3.4722,6.9477,4.9672,6.6349"
2,3.87,3.299868732035314,50.3787,0.1322,1.166,51.6781,"4.5931,4.2365,5.2260,6.1911,5.0583,6.6450,4.6129,3.4780,6.6362,3.7016"
3,7.03,3.1846163733444923,51.0094,0.132,1.1725,52.3151,"3.5404,3.7735,4.6304,6.7903,5.3302,6.2247,5.0847,4.6246,4.2754,6.7352"
4,8.93,3.0998917109452613,51.4161,0.1352,1.1601,52.7128,"4.3756,4.7085,6.7680,3.7707,5.3754,4.6181,5.1511,6.7903,6.3462,3.5121"
5,11.72,3.008816238963551,51.6984,0.1316,1.1563,52.9876,"4.3995,6.3304,6.8524,5.4063,4.6661,4.6765,6.7997,5.2167,3.7776,3.5732"
6,15.53,2.8901483576491622,52.0181,0.1376,1.1629,53.3201,"5.4834,3.7965,6.3398,4.7083,5.2399,4.3908,3.6030,4.7297,6.8549,6.8718"
7,17.24,2.7722931467171983,52.1003,0.1286,1.1696,53.3998,"4.7532,6.4067,3.8400,6.8272,5.2122,4.7150,6.8932,4.3783,5.4862,3.5884"
8,18.24,2.8379579303720552,52.4008,0.1316,1.16,53.6937,"6.9816,5.4217,4.4200,5.2436,4.7633,6.4281,3.8752,3.6215,4.7653,6.8804"
9,22.98,2.587139316238064,52.6159,0.1311,1.1665,53.9147,"3.8678,4.8371,7.0094,3.6333,5.4270,6.9012,4.7361,6.4712,4.4350,5.2977"
10,25.6,2.5060198856859714,52.9506,0.1331,1.1786,54.2636,"7.0412,3.9077,4.7300,4.8542,7.0110,5.2974,6.4416,5.4962,3.6545,4.5168"
11,27.35,2.435078482202361,52.7719,0.132,1.1651,54.0703,"6.4626,3.8779,4.7494,5.3116,4.8128,5.4655,3.6335,7.0160,4.4542,6.9884"
12,29.06,2.3667411253546264,52.962,0.1305,1.1425,54.2392,"4.4384,6.4878,3.9102,6.9908,5.3076,4.7524,3.6638,6.9709,5.5996,4.8406"
13,29.98,2.3856033176047697,52.8107,0.1355,1.1739,54.1213,"5.3536,4.4629,6.9731,6.4733,5.4457,6.9840,3.6218,4.7885,4.8300,3.8776"
14,34.2,2.2611795694753125,52.9935,0.1351,1.1712,54.301,"3.9200,6.9960,6.4807,4.4371,4.7534,4.8564,3.6814,5.3423,5.4934,7.0327"
15,35.48,2.2183687904242064,52.8474,0.1289,1.1607,54.1426,"4.7718,4.8321,4.4419,5.5515,5.2846,3.9256,7.0185,6.4134,3.6442,6.9637"
16,36.71,2.244683886983849,52.9534,0.1313,1.1528,54.2388,"7.0373,4.5006,5.3249,5.4567,4.7614,6.4821,7.0139,3.6099,4.8565,3.9101"
17,38.34,2.213152107629218,52.8779,0.1306,1.1815,54.1943,"7.0719,4.7510,5.4627,5.3262,6.4167,4.4264,4.8328,3.8892,3.6784,7.0225"
18,39.11,2.126705216891208,53.0452,0.132,1.1572,54.3356,"4.4643,5.4645,6.4616,3.8942,3.6374,4.8106,7.1029,5.3199,4.8740,7.0158"
19,41.44,2.0671444398594425,53.1381,0.1292,1.1674,54.4361,"5.5625,4.8736,7.0830,4.4921,3.6544,6.4604,4.7553,3.8840,7.0421,5.3307"
20,41.65,2.092164008296393,52.9044,0.1359,1.1755,54.2171,"4.8273,3.9230,4.4796,3.6081,4.7636,7.0364,5.2656,6.4137,7.0526,5.5344"
21,43.92,2.0319548479574405,52.8674,0.1301,1.173,54.1718,"4.5191,3.9143,4.7541,7.0051,5.4420,6.4672,4.8905,5.2924,6.9442,3.6385"
22,44.61,2.003128029090795,53.0239,0.132,1.1648,54.322,"4.7513,3.6659,4.4499,7.0356,6.4455,3.9290,4.8807,7.0323,5.3499,5.4837"
23,45.89,1.9618936351145155,52.825,0.134,1.1779,54.1383,"6.5111,4.7607,7.0438,6.9353,3.6577,5.4739,5.2534,4.4878,3.8947,4.8066"
24,42.88,2.0557940972344078,52.6856,0.1309,1.1761,53.9979,"6.9884,6.9863,4.7306,3.6519,3.8786,4.4203,6.4483,5.4800,5.2795,4.8218"
25,46.86,1.944210336241171,53.1317,0.1323,1.1654,54.4307,"3.6772,6.9573,7.0479,5.2697,6.5259,4.4731,5.5180,3.8795,4.9817,4.8014"
26,48.49,1.8964891515987763,53.022,0.13,1.1577,54.311,"5.3394,6.9870,3.6851,4.7906,4.4674,6.4554,3.8865,5.5105,4.8400,7.0602"
27,48.54,1.88356755932559,53.0922,0.133,1.1557,54.3823,"4.8526,4.5169,6.9866,4.8607,3.6303,3.8998,5.5355,5.2834,7.0362,6.4902"
28,48.35,1.896032363399864,52.8746,0.1321,1.1595,54.1676,"6.9773,3.6642,4.8962,5.4903,3.8827,6.4739,4.4821,5.3005,6.9680,4.7394"
29,50.08,1.8339639689465213,53.0969,0.1295,1.1616,54.3893,"7.0746,4.8878,4.4737,3.6633,6.9903,5.4993,4.7738,5.3221,3.9144,6.4976"
30,50.19,1.873290645756572,53.107,0.1312,1.1666,54.4061,"6.5646,4.4889,3.7040,7.0754,4.8335,5.5180,6.9289,4.7663,5.3360,3.8912"
31,51.59,1.8332272461830108,53.1451,0.1319,1.1697,54.448,"6.9996,7.0356,3.6788,4.4662,6.5292,5.4833,5.3246,3.8729,4.8954,4.8594"
32,51.15,1.80787962674994,53.2465,0.1305,1.1579,54.5362,"5.5500,6.5356,7.0706,4.8001,4.8663,4.4730,5.3320,7.0149,3.9408,3.6633"
33,52.35,1.7807377804434068,53.4088,0.134,1.1702,54.7144,"4.8484,4.4907,5.3914,7.0243,6.5191,3.6840,3.9185,5.5139,7.0901,4.9285"
34,53.01,1.7624122243178435,53.4465,0.134,1.1671,54.749,"7.0837,4.5145,7.0462,3.6837,5.5383,4.8796,6.5578,4.8127,5.3908,3.9391"
35,53.51,1.7489765225434244,53.3177,0.134,1.1576,54.6106,"7.1056,4.8766,4.5092,7.0225,3.9256,5.5287,3.6662,4.8225,6.5356,5.3250"
36,54.02,1.7352924121269595,53.2204,0.175,1.1506,54.5472,"3.6842,4.8812,5.3510,4.7866,6.9980,6.4894,4.4662,7.0982,5.5111,3.9545"
37,54.77,1.7297957915659414,53.1713,0.1323,1.1623,54.4671,"4.4727,6.5020,3.9018,7.0523,7.0547,4.7919,3.6882,4.9092,5.3126,5.4858"
38,54.07,1.7368966243017678,53.2028,0.1311,1.1496,54.4847,"5.5565,6.9864,7.1821,4.4991,6.4348,3.8806,5.3088,4.8082,3.6595,4.8870"
39,54.79,1.7059322434398925,53.2599,0.1336,1.1486,54.5434,"5.3746,4.8693,4.5110,4.8029,6.9827,5.5164,3.9288,7.0533,3.6685,6.5523"
40,55.22,1.6889517960550058,53.1929,0.1313,1.1539,54.4794,"5.5496,4.5266,6.5265,7.0152,3.9434,4.8105,5.2914,6.9936,3.6657,4.8704"
41,55.69,1.6912823412236304,53.3474,0.1314,1.173,54.6531,"3.9573,6.9921,5.5444,4.4460,7.0697,6.5699,4.8305,5.3659,3.7076,4.8640"
42,55.77,1.6722947846111658,53.382,0.1342,1.1506,54.6712,"6.5948,4.5105,5.3724,3.6848,6.9823,4.8302,4.7985,7.1084,5.5635,3.9365"
43,56.18,1.66134010786556,53.4283,0.1349,1.1685,54.7331,"6.5825,4.5332,3.9387,5.5410,3.6705,4.8095,7.0733,6.9933,5.3832,4.9029"
44,56.09,1.6547259427484469,53.3965,0.1348,1.1742,54.7067,"4.9460,5.3629,7.0495,3.9327,4.8688,6.5117,6.9773,3.6761,5.5461,4.5254"
45,56.64,1.6501691756643038,53.4332,0.1329,1.1703,54.7377,"5.5701,4.8955,5.3826,7.1145,4.8113,3.9381,3.6467,6.9646,6.5692,4.5405"
46,57.43,1.6314029353033537,53.4239,0.1318,1.1635,54.7206,"3.6792,5.3484,7.0322,4.5049,7.1461,6.5249,3.9552,5.5177,4.9100,4.8054"
47,57.51,1.615517901453289,53.3352,0.1321,1.1518,54.6235,"6.5967,7.0129,4.8325,3.6477,5.5399,5.3539,6.9983,4.9053,4.4918,3.9562"
48,57.94,1.6306880710435476,53.5549,0.1326,1.1745,54.8633,"4.5489,5.5871,7.1636,3.9608,3.6887,7.0250,6.5491,4.8356,4.8706,5.3255"
49,58.34,1.6051117078647414,53.3509,0.1249,1.1517,54.6288,"7.1043,5.3772,5.5247,4.8747,3.9340,6.5446,6.9420,4.8217,3.6922,4.5356"
50,59.03,1.5922368368857829,53.4744,0.1303,1.1643,54.7731,"5.5688,7.0205,4.8359,7.0559,3.9624,4.5250,5.3443,4.8791,3.7552,6.5274"
51,59.03,1.5884094323111462,53.2789,0.1336,1.1647,54.5814,"6.6079,4.9084,4.4915,3.9073,5.5255,7.0431,3.6545,5.3688,6.9847,4.7871"
52,59.44,1.5930746617521363,53.2759,0.1322,1.1684,54.5778,"4.9450,5.5021,6.5225,4.8154,4.5059,7.0561,3.6661,7.0105,3.9039,5.3483"
53,59.8,1.5741239138372751,53.2636,0.1337,1.1806,54.5791,"5.4902,7.0499,6.5141,4.5011,5.3460,3.6907,6.9974,4.8266,4.9006,3.9470"
54,59.96,1.5616710464846977,53.3942,0.1297,1.1778,54.7031,"3.9493,4.5384,5.5826,4.8369,5.3330,4.8719,7.0315,6.4941,3.6802,7.0762"
55,59.58,1.547152860794435,53.4538,0.1317,1.1739,54.7607,"4.8824,3.9476,7.0297,5.3748,5.4842,6.5737,4.5279,7.0338,4.8808,3.7190"
56,59.2,1.5822778287392905,53.2775,0.1301,1.1714,54.5803,"3.7243,4.5458,5.3159,3.9449,6.5388,7.0248,5.4823,4.7869,6.9778,4.9360"
57,60.87,1.5385436985787069,53.5916,0.1319,1.1514,54.8792,"5.4266,5.5566,7.0534,4.5251,4.8599,4.9526,6.5390,7.0710,3.9474,3.6601"
58,60.78,1.5320127662571288,53.4351,0.1351,1.1666,54.7381,"4.7947,3.9239,3.7017,7.0206,6.5521,4.4937,5.5476,7.0825,5.3936,4.9247"
59,60.84,1.5244764454313862,53.337,0.125,1.1611,54.6243,"3.9659,5.5681,3.6761,6.9643,4.5537,7.0598,4.7945,6.5069,4.9136,5.3343"
60,61.27,1.515181040502676,53.5953,0.1306,1.1565,54.8877,"4.9505,4.8537,7.1189,3.9650,6.5429,5.5105,7.0534,3.6693,4.5505,5.3807"
61,60.65,1.524012223372429,53.5107,0.1399,1.1817,54.8336,"6.5835,7.0512,3.9356,3.6862,4.5104,5.3485,5.5405,7.0708,4.8431,4.9409"
62,61.03,1.5167093140318235,53.6706,0.1339,1.1601,54.9658,"5.5209,7.1078,3.6706,7.1427,6.5951,4.8820,5.3967,3.9664,4.5487,4.8396"
63,62.0,1.502310182529307,53.5789,0.1328,1.157,54.8699,"6.5485,3.7094,7.0527,5.3841,5.5296,4.5238,4.8601,4.9190,3.9405,7.1113"
64,62.18,1.491640981725326,53.5622,0.1323,1.1566,54.8524,"7.1202,7.1194,6.5252,5.3528,4.8111,4.8895,5.5516,3.7180,3.9605,4.5140"
65,62.0,1.5084006003691812,53.6062,0.1324,1.1726,54.9125,"4.8082,6.5403,7.1369,7.0415,5.5873,5.3657,4.9102,3.9495,4.5469,3.7197"
66,62.08,1.4852087444226478,53.5677,0.1287,1.1545,54.8521,"3.9708,6.5291,4.5652,5.5277,3.6937,7.0309,7.1189,4.9057,5.3770,4.8487"
67,62.34,1.4742139922409048,53.6401,0.1331,1.1776,54.952,"7.1938,6.6050,4.5375,5.3300,7.0224,4.9216,3.9445,3.7076,4.8493,5.5284"
68,62.75,1.4714868851840712,53.531,0.1324,1.1553,54.82,"4.5561,5.5717,3.9781,4.9040,5.3484,7.0952,6.5746,3.6731,4.8206,7.0091"
69,62.3,1.46683839008164,53.632,0.1305,1.1833,54.9471,"5.4013,4.8886,4.5299,7.1279,3.7034,6.5325,4.9394,3.9741,5.5402,6.9946"
70,63.5,1.4540814419185122,53.4143,0.1297,1.1497,54.6951,"4.5295,3.6971,4.8392,5.3669,4.9081,6.9753,3.9418,7.0809,6.5218,5.5537"
71,63.35,1.445968222422302,53.5258,0.1319,1.1643,54.8233,"7.1387,4.8975,4.5702,3.6832,4.7856,6.5300,5.3780,7.0391,5.5305,3.9730"
72,62.46,1.4606532352636257,53.4368,0.1315,1.1946,54.7643,"5.5515,4.5251,6.5546,4.8347,6.9670,4.9552,5.3588,3.9011,3.7094,7.0794"
73,63.05,1.457032113132943,53.4011,0.1313,1.1755,54.7092,"3.9668,5.5017,5.3884,4.5731,6.5056,3.7182,4.8782,4.8062,6.9773,7.0856"
74,63.65,1.430984837768146,53.5764,0.1306,1.1756,54.887,"5.3988,4.9601,4.5500,6.6079,4.8604,5.5274,6.9549,3.9150,7.0915,3.7104"
75,63.28,1.4234781758531898,53.6496,0.137,1.1676,54.9555,"4.0534,3.7333,4.5182,5.3424,4.8068,7.0552,6.5272,7.1183,4.9493,5.5455"
76,64.07,1.4246874173272723,53.5912,0.1282,1.1631,54.8837,"5.5442,6.5662,4.9027,5.3189,3.9296,6.9951,4.8696,7.1676,3.7318,4.5653"
77,64.11,1.4151168412864332,53.4999,0.132,1.1686,54.8017,"3.6940,3.9679,4.5646,5.5296,7.0412,4.7950,7.0310,4.9162,5.3874,6.5730"
78,64.44,1.4114016465381591,53.6992,0.1331,1.166,54.9995,"4.9360,7.1241,5.3690,4.8460,5.5592,4.5436,3.6921,7.0713,6.6130,3.9449"
79,64.78,1.4087931828657938,53.8648,0.1307,1.1713,55.1681,"7.0346,3.6808,4.9359,7.2095,4.8693,5.6192,6.6244,5.3753,4.5479,3.9679"
80,63.88,1.4059435420969844,53.8372,0.1321,1.1828,55.1534,"6.6215,3.7275,4.8802,4.5514,5.3925,7.1446,3.9626,4.9180,7.0350,5.6041"
81,65.08,1.396164713191549,53.8916,0.1359,1.1766,55.2055,"7.1069,4.0032,5.4579,4.5625,7.1475,6.5609,3.6862,4.8472,5.5781,4.9412"
82,65.01,1.386780450604991,53.7304,0.1358,1.1769,55.0445,"4.5815,4.9322,7.0227,5.5819,4.8527,5.3499,3.9537,3.7302,6.6044,7.1213"
83,65.3,1.3898561972411243,53.5676,0.1305,1.176,54.8754,"3.7274,7.0723,3.9663,4.8351,6.5146,4.8803,7.0864,4.5555,5.5483,5.3814"
