Round,TestAcc,AvgLoss,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,RoundTimeSec,ClientTrainTimesSec
1,1.46,3.6419066836958978,51.8897,0.1621,1.1386,53.1918,"5.6235,4.4065,6.3808,4.6068,4.7906,3.7087,3.6267,7.0058,5.0207,6.7195"
2,3.81,3.307217764320167,48.3267,0.1568,1.1213,49.6062,"4.4007,4.0763,5.0127,5.8866,4.8566,6.4681,4.3878,3.3363,6.3190,3.5826"
3,6.63,3.1913346833389222,49.1986,0.1671,1.1325,50.5034,"3.3990,3.6790,4.4429,6.3368,5.0293,5.9172,4.9523,4.4895,4.3751,6.5775"
4,8.79,3.1014202797539148,49.0942,0.1649,1.1001,50.3606,"4.3330,4.4872,6.3563,3.6166,5.1489,4.4894,4.8910,6.4590,5.9559,3.3569"
5,12.37,3.0092974337366925,48.7587,0.1543,1.123,50.0374,"4.1289,5.9310,6.4380,5.1292,4.5220,4.3606,6.3949,4.9077,3.5820,3.3643"
6,14.89,2.88620977843832,49.0091,0.1416,1.1286,50.2806,"5.1098,3.5978,5.9690,4.3765,4.9315,4.1441,3.4402,4.5233,6.4640,6.4529"
7,18.11,2.774864584886096,49.4717,0.15,1.1304,50.7534,"4.4745,6.0772,3.6978,6.4720,4.9466,4.4028,6.5167,4.2534,5.2318,3.3989"
8,18.41,2.6761228917489364,49.7036,0.162,1.1447,51.0117,"6.5543,5.1436,4.2147,5.0828,4.5564,6.0853,3.6056,3.4325,4.4328,6.5957"
9,22.78,2.578840817916562,49.9615,0.1642,1.1385,51.2696,"3.6872,4.5022,6.5622,3.4688,5.1722,6.6513,4.5643,6.1202,4.2067,5.0264"
10,24.81,2.499334169435999,50.0929,0.1467,1.1487,51.3897,"6.6153,3.6544,4.4624,4.5112,6.6506,5.0586,6.1797,5.2402,3.4862,4.2344"
11,27.87,2.425510271885387,50.5919,0.1429,1.149,51.8852,"6.2554,3.6887,4.4913,5.0987,4.5613,5.3056,3.5261,6.6957,4.2892,6.6799"
12,29.34,2.368123444997396,51.1927,0.1536,1.1544,52.5021,"4.3776,6.2629,3.6864,6.6958,5.3530,4.6599,3.5205,6.7151,5.3061,4.6153"
13,29.28,2.3098646535217022,51.0563,0.1595,1.1481,52.3654,"5.1860,4.3232,6.7328,6.2745,5.3080,6.7484,3.5633,4.5622,4.6200,3.7378"
14,32.78,2.257952202850599,51.837,0.1621,1.1581,53.1586,"3.7482,6.8993,6.3899,4.3588,4.6093,4.6770,3.5407,5.3457,5.4693,6.7988"
15,35.18,2.2115305677845423,51.76,0.1608,1.1769,53.0991,"4.6813,4.6973,4.3955,5.3929,5.2181,3.7931,6.8256,6.3314,3.5606,6.8643"
16,35.63,2.1731508189937747,51.8825,0.1409,1.1555,53.1803,"6.8741,4.4245,5.2536,5.3595,4.6582,6.3763,6.8453,3.5806,4.7069,3.8036"
17,38.45,2.134585359552043,51.975,0.1489,1.1565,53.2864,"6.9325,4.7400,5.4091,5.2433,6.3267,4.3849,4.7139,3.8021,3.5893,6.8331"
18,39.63,2.097900105208472,52.3096,0.1578,1.1588,53.6277,"4.4357,5.4154,6.4105,3.8476,3.5703,4.7252,6.9641,5.3195,4.7503,6.8710"
19,41.89,2.065588952882716,52.4593,0.1644,1.1585,53.7836,"5.4390,4.7926,6.9827,4.4313,3.5985,6.4158,4.7248,3.8320,6.9305,5.3121"
20,42.45,2.034452142501986,52.5525,0.1587,1.183,53.9006,"4.8192,3.8486,4.4672,3.6124,4.7568,6.8943,5.2964,6.4253,6.9606,5.4717"
21,41.96,2.007283570169545,52.7136,0.1475,1.1753,54.0377,"4.4859,3.9030,4.7590,6.9678,5.5450,6.5126,4.7828,5.2475,6.8861,3.6240"
22,43.48,1.9833628783999144,52.5712,0.1451,1.1602,53.8779,"4.7848,3.6142,4.4576,6.9058,6.3981,3.8562,4.7940,6.9746,5.3273,5.4585"
23,45.13,1.9605289550678564,52.8449,0.1541,1.1678,54.1717,"6.4439,4.8021,7.0620,6.9162,3.6194,5.4733,5.3317,4.4754,3.9092,4.8115"
24,41.34,1.9315908419684529,53.4343,0.1613,1.1731,54.7701,"6.9501,7.1863,4.8901,3.6553,3.9119,4.4861,6.4359,5.6148,5.4249,4.8789"
25,47.16,1.9158921910126916,53.4164,0.1679,1.2062,54.7919,"3.6594,6.9884,7.0760,5.3488,6.4730,4.4893,5.4628,3.9282,5.0206,4.9699"
26,48.14,1.891439313853128,53.5411,0.1419,1.199,54.8833,"5.4392,7.0197,3.7044,4.8280,4.6101,6.4568,3.9464,5.4973,4.8666,7.1725"
27,48.48,1.868993151442203,55.7226,0.1421,1.2419,57.108,"4.8794,4.6056,7.1952,4.9711,3.7166,4.1299,5.8114,5.8306,7.5917,6.9912"
28,48.94,1.854702877739331,55.7258,0.1455,1.2547,57.1274,"7.4916,3.7458,5.0453,5.7000,4.0790,6.8197,4.8067,5.5709,7.3789,5.0879"
29,50.23,1.837295680632921,56.5297,0.1521,1.2287,57.912,"7.5518,5.2180,4.8204,3.9136,7.2642,5.9108,5.1701,5.6792,4.2454,6.7562"
30,49.94,1.822546282500467,58.19,0.154,1.2738,59.6192,"7.0502,5.0013,3.9307,7.7305,5.3097,6.0315,7.6477,5.2856,5.8723,4.3306"
31,49.28,1.8068878865768816,59.3425,0.1597,1.292,60.7956,"7.7024,7.9541,4.0369,4.9961,7.1913,6.2467,6.0840,4.4275,5.3566,5.3470"
32,51.48,1.7901408350792345,59.8453,0.1512,1.3167,61.3181,"6.2463,7.3220,7.9262,5.4142,5.4313,5.1140,6.0947,7.7741,4.3832,4.1393"
33,51.57,1.771244614902105,59.7214,0.1426,1.3043,61.1699,"5.5039,5.1856,6.0053,7.7630,7.2055,4.1804,4.4792,6.1546,7.8476,5.3962"
