Round,MeanUplinkBandwidth
1,16.2
2,19.7
3,15.9
4,21.3
5,18.4
6,17.2
7,12.5
8,16.7
9,15.7
10,20.4
11,16.4
12,19.2
13,12.8
14,16.9
15,14.9
16,17.8
17,12.8
18,15.0
19,18.2
20,16.8
21,14.0
22,17.8
23,15.5
24,10.0
25,18.4
26,16.1
27,17.1
28,10.5
29,15.3
30,16.9
31,16.7
32,16.3
33,20.4
34,22.3
35,16.6
36,19.8
37,17.1
38,13.9
39,16.2
40,17.2
41,18.0
42,18.4
43,17.8
44,18.8
45,19.6
46,19.5
47,17.9
48,21.6
49,18.5
50,18.0
51,16.0
52,15.8
53,19.6
54,17.5
55,19.2
56,15.3
57,21.8
58,17.9
59,17.4
60,17.5
61,19.3
62,20.9
63,17.7
64,18.6
65,19.4
66,17.9
67,19.1
68,16.2
69,19.8
70,14.8
71,18.9
72,16.1
73,16.4
74,14.3
75,21.0
76,18.1
77,16.4
78,18.4
79,17.8
80,21.3
81,21.2
82,19.1
83,15.6
84,14.6
85,19.4
86,17.8
87,18.2
88,17.2
89,17.9
90,19.4
91,16.7
92,15.9
93,13.3
94,19.3
95,16.7
96,21.8
97,18.8
98,16.0
99,17.0
100,17.5
