Round,ExpertId
1,4
1,6
1,26
2,4
2,6
2,26
3,4
3,6
4,4
4,6
4,26
5,4
5,6
6,4
6,6
6,26
7,4
7,6
8,4
8,6
9,4
9,6
10,4
10,6
10,26
11,4
11,6
12,4
12,6
12,26
13,4
13,6
14,4
14,6
14,26
15,4
15,6
16,4
16,6
16,26
17,4
17,6
18,4
18,6
19,4
19,6
19,26
20,4
20,6
20,26
21,4
21,6
21,26
22,4
22,6
22,26
23,4
23,6
24,4
24,6
24,26
25,4
25,6
26,4
26,6
26,26
27,4
27,6
27,26
28,4
28,6
29,4
29,6
30,4
30,6
30,26
31,4
31,6
31,26
32,0
32,1
33,1
33,2
33,3
34,2
34,3
34,5
34,7
34,8
35,5
35,7
35,8
35,9
36,7
36,8
36,9
36,10
36,11
37,8
37,9
37,10
37,11
37,12
38,7
38,10
38,11
38,12
38,13
38,14
39,8
39,9
39,10
39,11
39,12
39,13
39,14
39,15
40,10
40,11
40,12
40,13
40,14
40,15
40,16
41,13
41,14
41,15
41,16
41,17
41,18
41,19
42,11
42,12
42,15
42,16
42,17
42,18
42,19
43,12
43,13
43,14
43,17
43,18
43,19
43,20
44,13
44,14
44,15
44,16
44,18
44,20
44,21
44,22
44,23
45,16
45,17
45,18
45,19
45,21
45,22
45,23
45,24
46,17
46,18
46,19
46,20
46,23
46,24
46,25
47,18
47,19
47,20
47,24
47,25
47,26
47,27
47,28
47,29
48,19
48,20
48,21
48,22
48,25
48,27
48,28
48,29
48,30
49,4
49,23
49,24
49,28
49,29
49,30
49,31
50,4
50,6
50,21
50,22
50,23
50,25
50,27
50,29
50,31
51,4
51,6
51,22
51,23
51,24
51,25
51,26
51,28
51,30
51,31
52,4
52,24
52,25
52,26
52,27
52,28
52,29
53,4
53,6
53,26
53,27
53,28
53,29
53,30
53,31
54,4
54,6
54,26
54,28
54,30
54,31
55,4
55,6
55,29
56,4
56,6
56,26
56,30
56,31
57,4
57,6
57,18
57,26
58,4
58,6
58,26
59,4
59,6
59,26
60,4
60,6
60,26
61,4
61,6
61,26
62,4
62,6
62,18
62,26
63,4
63,6
63,26
64,0
64,1
64,4
65,1
65,2
65,4
66,1
66,2
66,3
66,5
67,2
67,3
67,5
67,7
68,4
68,5
68,7
68,8
68,9
69,4
69,7
69,8
69,9
69,10
69,11
70,4
70,6
70,7
70,8
70,9
70,10
70,11
70,12
71,4
71,8
71,9
71,10
71,11
71,12
71,13
72,9
72,10
72,11
72,12
72,13
72,14
73,4
73,6
73,10
73,11
73,13
73,14
73,15
73,26
74,4
74,11
74,12
74,13
74,14
74,15
74,16
74,17
75,4
75,12
75,13
75,14
75,15
75,16
75,17
75,18
75,19
76,13
76,14
76,15
76,16
76,17
76,18
76,19
76,20
76,21
77,14
77,15
77,16
77,17
77,18
77,19
78,4
78,16
78,17
78,18
78,19
78,20
78,21
78,22
79,17
79,18
79,19
79,20
79,22
79,23
79,24
79,25
80,18
80,19
80,20
80,21
80,22
80,24
80,25
80,27
80,28
81,4
81,6
81,19
81,20
81,21
81,22
81,23
81,24
81,27
81,28
81,29
82,21
82,22
82,23
82,24
82,25
82,29
82,30
83,22
83,23
83,24
83,25
83,27
83,30
84,4
84,24
84,28
84,29
84,30
84,31
85,4
85,6
85,22
85,24
85,25
85,26
85,27
85,28
85,29
85,30
85,31
86,4
86,6
86,23
86,25
86,26
86,27
86,28
86,29
86,30
86,31
87,4
87,6
87,24
87,26
87,28
87,29
87,30
87,31
88,4
88,6
88,25
88,27
88,30
88,31
89,4
89,6
89,26
89,31
90,4
90,6
90,26
90,28
90,29
91,4
91,6
91,26
91,30
92,4
92,6
92,26
92,31
93,4
93,6
93,26
94,4
94,6
94,18
94,26
95,4
95,6
95,26
96,0
96,1
96,4
97,1
97,2
97,4
98,1
98,2
98,3
98,4
98,6
99,2
99,3
99,4
99,5
100,3
100,4
100,5
100,7
100,8
