Round,MeanUplinkBandwidth
1,131.2
2,157.8
3,126.6
4,172.7
5,148.3
6,138.9
7,101.9
8,134.0
9,126.1
10,163.7
11,132.2
12,155.1
13,101.4
14,135.2
15,119.1
16,143.2
17,102.7
18,120.9
19,148.2
20,134.6
21,112.1
22,143.2
23,124.1
24,80.0
25,148.0
26,129.9
27,137.4
28,87.0
29,124.5
30,135.8
31,134.5
32,131.5
33,163.1
34,179.8
35,132.6
36,160.2
37,137.6
38,112.2
39,131.7
40,138.6
41,145.3
42,148.0
43,143.6
44,151.7
45,159.5
46,156.0
47,144.0
48,173.0
49,147.9
50,145.0
51,128.5
52,127.9
53,157.6
54,140.4
55,154.1
56,122.6
57,175.8
58,143.2
59,138.1
60,140.3
61,156.0
62,168.9
63,142.1
64,150.6
65,156.4
66,144.0
67,152.9
68,130.3
69,159.3
70,119.5
71,152.1
72,130.1
73,131.2
74,113.9
75,168.4
76,145.7
77,132.4
78,147.9
79,143.3
80,170.9
81,171.2
82,154.9
83,125.7
84,118.0
85,156.5
86,142.5
87,147.1
88,138.5
89,143.8
90,155.9
91,134.7
92,128.1
93,108.1
94,157.2
95,135.8
96,176.5
97,149.9
98,128.4
99,137.7
100,141.2
