Round,TestAcc,AvgLoss,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,RoundTimeSec,ClientTrainTimesSec
1,1.21,3.9686064787668607,51.4658,0.135,1.164,52.7663,"7.0812,4.1591,6.0334,4.5643,4.3845,3.8111,3.5035,6.5069,4.8348,6.5870"
2,2.73,3.5454841263586845,49.2945,0.1307,1.1415,50.5681,"4.4728,4.2280,5.1517,5.9524,4.7664,6.6818,4.4901,3.2825,6.6102,3.6585"
3,3.44,3.539446246786601,48.5527,0.1308,1.1298,49.8146,"3.3778,3.6686,4.4368,6.2635,5.1287,5.7915,4.8929,4.3364,4.1346,6.5220"
4,7.08,3.240600891192775,49.9973,0.1276,1.1384,51.2647,"4.2485,4.4968,6.5558,3.5082,5.3690,4.5208,5.0156,6.5720,6.2837,3.4267"
5,6.68,3.259268655021309,49.4543,0.1338,1.1395,50.7291,"4.2448,6.1158,6.5924,5.0243,4.4787,4.3437,6.4721,5.1892,3.5534,3.4398"
6,9.6,3.233272879604188,49.5722,0.1305,1.1148,50.8187,"5.2830,3.5630,6.1791,4.4256,4.9815,4.2616,3.2849,4.5841,6.4818,6.5274"
7,9.55,3.191640923151695,48.2071,0.1437,1.1281,49.4833,"4.4975,5.8369,3.4989,6.3791,4.8057,4.4758,6.4207,4.0440,4.9718,3.2768"
8,9.95,3.195145990117166,48.6287,0.153,1.1782,49.9612,"6.3936,4.9531,4.0190,4.7936,4.3511,5.8010,3.6390,3.4314,4.6164,6.6304"
9,15.79,2.9518661981509338,47.9908,0.141,1.1431,49.2761,"3.5093,4.4232,6.3634,3.2728,5.1698,6.3124,4.2820,5.8639,4.0202,4.7738"
10,17.52,2.826261967569498,47.9343,0.1428,1.1124,49.1907,"6.3790,3.5102,4.3180,4.3620,6.2738,4.7584,5.8036,5.2394,3.2709,4.0191"
11,21.63,2.736870503440535,47.8726,0.1391,1.1226,49.1356,"5.8462,3.4982,4.3322,4.7937,4.3167,5.2718,3.2649,6.2295,4.0154,6.3038"
12,21.35,2.6869348083572406,48.1258,0.1436,1.1316,49.4023,"4.0351,5.8697,3.5291,6.3447,4.7804,4.3140,3.2809,6.2107,5.3927,4.3686"
13,22.05,2.6397104119763224,47.9067,0.1375,1.1262,49.1716,"4.8137,4.0402,6.3414,5.8273,5.2746,6.2464,3.2564,4.2894,4.3441,3.4732"
14,20.07,2.646038853936569,48.4615,0.1434,1.1125,49.7186,"3.5166,6.3828,5.8911,4.1063,4.4551,4.3414,3.2500,4.7641,5.3382,6.4161"
15,26.53,2.5640878505224407,47.9967,0.138,1.1245,49.2605,"4.3213,4.3849,4.0329,5.3568,4.7761,3.5153,6.3307,5.8032,3.2509,6.2245"
16,19.21,2.5637638333098733,47.9852,0.1445,1.1176,49.2486,"6.2807,4.0439,4.7744,5.3356,4.3140,5.8259,6.3224,3.2420,4.3415,3.5047"
17,28.81,2.5129742836296343,48.06,0.1356,1.1106,49.311,"6.3898,4.3660,5.3640,4.8192,5.8183,4.0096,4.3092,3.4757,3.2831,6.2252"
18,25.52,2.441864013276183,49.1566,0.1434,1.117,50.4183,"4.0325,5.3712,5.8306,3.8166,3.4099,4.5116,6.5515,4.8378,4.5457,6.2493"
19,31.43,2.339571933055144,48.2217,0.1398,1.1095,49.4722,"5.4092,4.3875,6.3881,4.0940,3.2844,5.7812,4.2918,3.5484,6.2669,4.7702"
20,30.4,2.353881952902294,48.0892,0.1418,1.1086,49.3408,"4.3801,3.5268,4.0342,3.2835,4.2757,6.2833,4.7439,5.8131,6.3388,5.4099"
21,32.88,2.27817354531364,48.0623,0.1403,1.1096,49.3135,"4.0674,3.5337,4.3265,6.3452,5.3291,5.8199,4.3649,4.7752,6.2320,3.2684"
22,36.61,2.227291866322443,48.4177,0.1446,1.1118,49.6753,"4.3142,3.2951,4.3524,6.2799,5.8185,3.4945,4.3778,6.4248,4.7606,5.2999"
23,31.75,2.2318219829671584,47.8783,0.14,1.1221,49.1417,"5.8505,4.3175,6.3545,6.2246,3.2609,4.9739,4.7563,4.0215,3.7805,4.3380"
24,32.08,2.2113149359806816,47.9244,0.141,1.1385,49.2086,"6.3165,6.3864,4.2956,3.2724,3.7793,3.9930,5.8044,4.9386,4.7691,4.3691"
25,39.85,2.1709776547944366,48.0822,0.1413,1.1123,49.337,"3.2903,6.2935,6.3631,4.8244,5.9024,4.0213,4.9242,3.7462,4.4313,4.2855"
26,38.82,2.091066535187995,47.8918,0.141,1.1489,49.1878,"4.8247,6.2777,3.3056,4.3101,4.0033,5.7916,3.7681,4.9541,4.3397,6.3168"
27,39.55,2.104564645329746,49.1764,0.1422,1.1781,50.4979,"4.4178,4.0306,6.3633,4.4680,3.2681,3.7593,4.9751,4.8920,6.7246,6.2776"
28,41.57,2.0994333431665297,48.5765,0.1374,1.1515,49.8666,"6.6306,3.4603,4.6153,5.1002,3.5567,5.8143,4.0329,4.8083,6.3007,4.2571"
29,42.51,2.053772014156105,48.2993,0.1437,1.135,49.5793,"6.3774,4.4043,4.0279,3.2483,6.2899,4.9778,4.3200,5.0513,3.7388,5.8634"
30,37.25,2.045891599031745,48.5711,0.1404,1.1373,49.8501,"5.8994,4.0593,3.2885,6.3751,4.3718,4.9676,6.2134,4.2878,5.2734,3.8347"
31,43.79,1.9891250301816463,50.0487,0.1407,1.1196,51.3102,"6.8409,6.8621,3.5297,4.0343,6.0932,4.9643,4.7495,3.4804,4.7566,4.7375"
32,35.16,2.083079442315272,47.7907,0.1393,1.1387,49.07,"4.9898,5.8926,6.3997,4.3241,4.3868,3.9985,4.7830,6.2628,3.4831,3.2702"
33,40.34,2.0443401072367005,47.7539,0.1437,1.1142,49.013,"4.3472,4.0739,4.8120,6.2734,5.8333,3.2699,3.4775,4.9686,6.3328,4.3653"
34,43.08,1.98763161303142,48.184,0.1381,1.1352,49.4586,"6.3782,4.0776,6.2126,3.2935,5.4555,4.3313,5.8332,4.2908,4.7860,3.5253"
35,36.88,1.9586095230303715,48.2031,0.1452,1.1116,49.4613,"6.3767,4.4001,4.0162,6.2692,3.5300,5.4475,3.2590,4.3307,5.8095,4.7642"
36,39.45,1.963185786651581,48.4125,0.1371,1.1093,49.6639,"3.2743,4.3927,4.8089,4.3013,6.2285,5.8384,4.2751,6.3825,5.4046,3.5063"
37,38.0,1.9453801988941837,50.9704,0.1474,1.1179,52.237,"4.0168,5.8328,3.4919,6.8413,6.8483,4.3210,3.6517,5.0156,5.3506,5.6003"
38,32.93,1.954513422740092,48.8338,0.1363,1.1189,50.0902,"5.4491,6.3022,6.4683,4.0322,5.8283,3.4870,4.8152,4.7905,3.3236,4.3374"
39,40.36,1.943908823180701,49.3415,0.1436,1.1217,50.6082,"4.8166,4.3658,4.4349,4.6867,6.4380,5.3726,3.5713,6.3168,3.2826,6.0562"
