Round,TestAcc,AvgLoss,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,RoundTimeSec,ClientTrainTimesSec
1,1.94,3.5480581170315557,48.1709,1.5557,1.0519,50.7793,"5.3922,4.0403,5.9638,4.4926,4.3370,3.5043,3.3594,6.1766,4.7804,6.1243"
2,5.14,3.1920107274874505,48.4106,1.6716,1.0374,51.1241,"4.5357,3.9533,5.0338,6.1884,4.9882,6.6278,4.3928,3.2591,5.9415,3.4900"
3,8.47,3.080914315941276,48.5689,1.537,1.0403,51.147,"3.2698,3.5430,4.5915,6.1897,5.0751,6.0327,5.0605,4.3568,3.9037,6.5460"
4,8.35,2.9852161064078357,48.763,1.777,1.0464,51.5873,"3.9675,4.3247,6.4086,3.4455,5.1844,4.3971,5.0407,6.5978,6.1396,3.2570"
5,8.67,2.909172642469623,49.4924,1.6545,1.0379,52.1855,"4.1091,6.1137,6.6200,5.1878,4.6129,4.3478,6.4997,5.0760,3.6675,3.2579"
6,12.57,2.860447948123464,48.5967,1.5839,1.029,51.2104,"5.2285,3.6635,5.9476,4.2896,5.0379,4.1364,3.3042,4.5215,6.1762,6.2914"
7,18.94,2.736890590560751,47.7662,1.4386,1.0392,50.2448,"4.3426,5.7680,3.5218,6.1073,4.7465,4.3812,6.1946,4.1766,5.2212,3.3064"
8,19.24,2.751568293050176,48.4934,1.6127,1.0312,51.1381,"6.3459,5.1842,4.0411,4.9299,4.5176,6.1177,3.5979,3.2609,4.2418,6.2564"
9,25.21,2.574152951470816,47.157,1.5625,1.0435,49.7637,"3.4741,4.2767,6.1583,3.2248,5.1352,6.0873,4.2644,5.7236,4.1027,4.7100"
10,26.23,2.5215976722265,50.0997,1.6906,1.0472,52.8385,"6.6938,3.6179,4.5969,4.6732,6.6450,5.1145,6.1053,5.1995,3.2407,4.2128"
11,27.86,2.497739513132539,47.1557,1.5541,1.0671,49.7777,"5.7679,3.5115,4.2783,4.7996,4.3204,4.8621,3.3158,6.1510,3.9995,6.1495"
12,29.82,2.4149994253486544,46.8534,1.6768,1.0512,49.5841,"3.9908,5.7484,3.5131,6.1801,4.7124,4.2823,3.2929,6.0442,4.8088,4.2802"
13,31.94,2.419627793820649,46.7964,1.4112,1.0344,49.2429,"4.7139,3.9808,6.1829,5.7292,4.8250,6.0348,3.2406,4.2663,4.3275,3.4953"
14,34.93,2.33433530028772,46.4573,1.587,1.0352,49.0802,"3.4709,6.1438,5.7505,3.9413,4.1895,4.2651,3.2231,4.6556,4.8274,5.9900"
15,36.47,2.309334029475685,46.3716,1.5371,1.0381,48.9477,"4.2274,4.2702,3.9256,4.8522,4.6397,3.4357,6.1327,5.6630,3.2356,5.9896"
16,37.46,2.2926583919375405,46.265,1.6381,1.0213,48.9252,"6.0087,3.9308,4.6641,4.8088,4.1928,5.6432,6.1051,3.2278,4.2269,3.4567"
17,38.11,2.2634192630475822,46.7564,1.447,1.0301,49.2343,"6.1112,4.2263,5.2003,4.6685,5.6749,3.9423,4.2418,3.4539,3.2344,6.0029"
18,39.33,2.207786995249412,49.174,1.5431,1.0335,51.7513,"3.9759,5.1894,6.1513,3.4807,3.2475,4.5660,6.7384,4.9537,4.4854,6.3858"
19,40.49,2.19414851995238,46.5003,1.6464,1.0335,49.1811,"5.0999,4.2726,6.0866,3.9388,3.2318,5.6389,4.2090,3.4304,5.9756,4.6168"
20,40.41,2.218369760717956,46.7758,1.6348,1.0407,49.4521,"4.2602,3.4703,3.9467,3.2313,4.2063,6.0036,4.6477,5.6711,6.1118,5.2267"
21,41.24,2.162775994863778,46.6221,1.4996,1.0193,49.1447,"3.9317,3.4476,4.1796,6.1097,5.2004,5.6580,4.2482,4.6382,5.9860,3.2227"
22,42.44,2.133738762349992,46.6737,1.6662,1.0216,49.3622,"4.1795,3.2539,3.9274,6.0084,5.6426,3.4192,4.2408,6.1760,4.6315,5.1943"
23,43.12,2.1222494609591163,46.5721,1.5643,1.0483,49.1855,"5.6317,4.1699,6.1261,6.0227,3.2481,5.1768,4.6236,3.9110,3.4451,4.2173"
24,43.59,2.1139019332469493,46.6361,1.4269,1.0413,49.105,"6.0413,6.1147,4.1815,3.2575,3.4432,3.9178,5.6201,5.2135,4.6066,4.2399"
25,44.37,2.077612030661993,46.7075,1.6744,1.0403,49.4231,"3.2279,6.0383,6.1210,4.5962,5.6927,3.9375,5.2340,3.4312,4.2468,4.1818"
26,45.33,2.041007325544597,46.7996,1.599,1.0635,49.4629,"4.6480,6.0513,3.2451,4.2093,3.9267,5.6684,3.4559,5.2579,4.2237,6.1133"
27,46.03,2.0199352086464524,46.7835,1.6441,1.0387,49.467,"4.2166,3.9679,6.1708,4.2524,3.2402,3.4451,5.2394,4.6439,5.9778,5.6294"
28,45.77,2.0234962045983176,46.5757,1.461,1.0178,49.0553,"6.0197,3.2740,4.2690,5.2021,3.4169,5.6254,3.9173,4.6232,6.0517,4.1765"
29,47.37,1.985718603586207,46.5245,1.5241,1.0459,49.0982,"6.0887,4.2428,3.9339,3.2448,5.9633,5.1835,4.1657,4.6424,3.4510,5.6083"
30,47.26,2.0128286877541943,46.6007,1.6095,1.0267,49.2377,"5.6683,3.9679,3.2506,6.1483,4.2364,5.2079,5.9492,4.1506,4.6119,3.4096"
31,47.63,1.994409414889159,46.553,1.6315,1.0066,49.1919,"6.0071,6.0255,3.2397,3.9578,5.6139,5.1795,4.6478,3.4315,4.2423,4.2080"
32,47.97,1.9356849549581707,46.9142,1.6014,1.0446,49.5609,"5.2058,5.8104,6.1833,4.2046,4.2690,3.9360,4.6207,6.0031,3.4549,3.2263"
