Round,MeanUplinkBandwidth
1,36.4
2,43.1
3,34.7
4,47.3
5,40.7
6,37.8
7,28.6
8,37.1
9,34.2
10,44.7
11,36.0
12,42.3
13,28.1
14,37.2
15,32.5
16,39.1
17,29.0
18,33.9
19,40.4
20,37.4
21,30.7
22,39.5
23,33.8
24,23.9
25,40.4
26,35.4
27,37.5
28,25.4
29,34.0
30,36.9
31,36.7
32,36.0
33,44.5
34,49.0
35,36.4
36,43.7
37,37.9
38,32.1
39,36.8
40,38.2
41,41.4
42,40.4
43,39.2
44,41.4
45,44.2
46,42.8
47,39.3
48,47.2
49,40.4
50,39.7
51,35.0
52,34.9
53,43.1
54,39.2
55,41.9
56,33.6
57,48.0
58,39.7
59,37.8
60,38.5
61,42.5
62,46.0
63,38.8
64,41.2
65,42.8
66,39.2
67,41.7
68,35.6
69,43.1
70,33.4
71,41.5
72,35.4
73,35.9
74,32.0
75,45.9
76,39.6
77,37.4
78,40.3
79,38.6
80,46.6
81,46.6
82,42.3
83,35.6
84,32.7
85,42.6
86,38.9
87,40.8
88,37.9
89,39.2
90,42.5
91,36.7
92,34.8
93,30.2
94,43.1
95,37.2
96,48.1
97,40.8
98,35.0
99,37.5
100,38.7
