Round,TestAcc,AvgLoss,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,RoundTimeSec,ClientTrainTimesSec
1,2.21,3.634278025492841,66.1063,0.1742,1.17,67.4519,"8.1117,5.3063,7.8787,5.8062,5.7267,5.0715,4.7101,8.6801,6.5394,8.2755"
2,4.4,3.2207726834325414,65.5306,0.1809,1.1957,66.9084,"5.9462,5.6494,6.7115,8.0929,6.2602,8.6961,5.9865,4.7003,8.5104,4.9771"
3,8.09,3.0797663291217057,66.5067,0.1931,1.0969,67.7978,"4.7226,4.9683,6.0989,8.7074,7.0177,8.0394,6.7393,5.8511,5.5919,8.7701"
4,8.21,2.9995609667487315,65.1565,0.1804,1.1508,66.4888,"5.3683,5.7583,8.3852,4.8877,6.7824,5.9668,6.5687,9.0223,7.9402,4.4767"
5,11.19,2.9353966535344598,65.8216,0.1682,1.1556,67.1464,"5.3848,7.9828,8.7945,6.6979,6.1714,6.1237,8.7284,6.4818,4.8742,4.5820"
6,13.21,2.8526319140164604,65.9748,0.169,1.2159,67.3606,"6.9127,4.9405,8.0690,6.0034,6.6321,5.6578,4.5451,6.0284,8.6572,8.5286"
7,14.4,2.736681519921432,66.2506,0.1702,1.196,67.6179,"6.1233,8.0085,4.7609,8.5694,6.6962,5.9995,8.6931,5.6778,7.0655,4.6564"
8,18.21,2.6749493443177648,64.8329,0.1624,1.1834,66.1797,"8.3836,6.6696,5.4741,6.6205,6.0448,7.8386,5.0387,4.4669,5.8203,8.4759"
9,22.35,2.594672725036807,63.8221,0.1606,1.1218,65.1056,"4.6263,5.9176,8.4982,4.4012,6.8297,8.4058,5.8317,7.8286,5.3206,6.1624"
10,25.88,2.539917759943819,63.0626,0.1597,1.1322,64.3555,"8.3504,4.6099,5.8461,5.9142,8.1755,6.3856,7.6641,6.5998,4.2766,5.2404"
11,26.95,2.47792530201974,60.505,0.1682,1.136,61.8102,"7.5271,4.5980,5.6462,6.0261,5.4288,6.3686,4.1260,7.8635,4.9784,7.9424"
12,30.11,2.438064671432914,60.1081,0.1568,1.1028,61.3686,"5.1564,7.4541,4.3773,7.7283,5.9975,5.3419,4.1361,7.8866,6.3239,5.7060"
13,28.75,2.3857034806283908,59.6695,0.1514,1.0137,60.8356,"5.8775,5.0475,7.8651,7.2891,6.1594,7.8692,4.2467,5.4461,5.4036,4.4654"
