Round,TestAcc,AvgLoss,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,RoundTimeSec,ClientTrainTimesSec
1,3.03,3.728107611619591,42.267,0.1225,0.9373,43.3276,"4.8006,3.4474,5.3687,3.8067,3.6334,3.2093,2.8578,5.3517,4.0666,5.7247"
2,4.41,3.342791503107658,43.2206,0.1242,0.905,44.2506,"3.6550,3.6861,4.4309,5.3484,4.6607,5.7485,3.8736,2.9782,5.7974,3.0417"
3,6.54,3.206780685599022,44.1032,0.1265,0.9215,45.152,"2.8279,3.0528,3.9221,5.3292,4.6418,5.4758,5.0356,4.2133,3.9669,5.6377"
4,7.71,3.085663206396675,42.6881,0.1205,0.9307,43.7436,"3.7256,3.6406,5.8643,2.9294,4.4829,3.9591,4.3009,5.4370,5.6031,2.7452"
5,9.75,3.142555213413945,42.508,0.1281,0.8928,43.5297,"3.6364,5.2311,5.8593,4.5272,3.9576,3.7680,5.6482,4.1373,3.0539,2.6888"
6,10.81,2.9741309080297325,45.0061,0.1242,0.9148,46.0459,"4.6686,3.3632,6.2436,4.4912,4.6059,3.7631,2.8029,3.7052,5.7421,5.6203"
7,12.7,2.954915980065345,45.3022,0.1177,0.9085,46.3366,"3.9866,5.7292,3.4559,6.6053,4.6091,3.9771,5.9575,3.6982,4.5825,2.7008"
8,14.1,2.855172612802945,40.5707,0.1246,0.9026,41.5987,"5.2169,4.6624,3.4062,3.9982,3.7271,4.9233,2.8762,2.6950,3.7037,5.3618"
9,16.81,2.771172097420276,43.3409,0.1265,1.0073,44.482,"2.9412,3.8554,5.9479,2.7147,4.5452,5.6514,4.1028,5.3247,3.6553,4.6024"
10,14.46,2.8519369988222163,41.3759,0.1295,0.9961,42.5023,"5.7455,3.1710,3.9027,4.1323,5.2164,3.9785,4.8232,4.0321,2.8108,3.5635"
11,21.45,2.7856651262766694,42.5702,0.1255,0.9061,43.6069,"5.6106,3.4641,4.1789,4.3343,4.1962,4.1531,2.6924,5.3866,3.3251,5.2289"
12,20.96,2.715681979552318,41.373,0.1257,0.921,42.4205,"3.7063,4.8593,3.0468,5.3718,4.2955,3.7213,2.7447,5.2044,4.4416,3.9813"
13,28.03,2.6031900686087326,40.4948,0.1295,0.9786,41.6081,"4.0159,3.4725,5.2681,4.8042,4.0898,5.1588,2.6670,3.5385,4.3334,3.1466"
14,16.64,2.604956971332855,42.2985,0.1372,1.1003,43.5369,"3.4908,5.7630,4.9960,3.3070,3.7120,4.0619,2.7167,3.9672,4.5552,5.7289"
15,22.95,2.5691004065915424,44.5911,0.1225,0.8928,45.6072,"4.6780,4.4276,3.9025,4.3778,4.0053,3.2103,5.8028,5.3065,2.9475,5.9328"
16,25.94,2.544459285713439,43.2504,0.1214,0.8962,44.2727,"5.7696,3.8697,4.4767,4.6672,4.0171,5.3606,5.7930,2.7727,3.5930,2.9307"
