Round,TestAcc
1,10.0
2,10.0
3,10.02
4,10.63
5,19.89
6,22.21
7,24.79
8,33.2
9,35.4
10,38.96
11,37.94
12,39.43
13,41.76
14,40.66
15,40.65
16,45.08
17,47.25
18,46.83
19,52.58
20,53.62
21,54.83
22,53.94
23,53.85
24,51.22
25,56.42
26,56.15
27,58.89
28,59.25
29,60.43
30,60.25
31,60.57
32,60.7
33,62.81
34,61.68
35,61.66
36,65.99
37,66.92
38,67.05
39,66.17
40,68.76
41,68.88
42,67.93
43,66.06
44,67.49
45,66.15
46,66.56
47,66.57
48,68.58
49,69.75
50,70.0
51,71.77
52,70.82
53,72.32
54,72.51
55,74.21
56,69.15
57,71.21
58,71.51
59,71.86
60,71.25
61,71.97
62,71.63
63,72.36
64,72.55
65,73.52
66,72.58
67,73.56
68,72.76
69,74.98
70,74.89
71,73.25
72,75.78
73,74.65
74,76.02
75,74.57
76,75.76
77,75.14
78,75.0
79,75.95
80,75.3
81,75.32
82,74.8
83,75.51
84,77.09
85,78.11
86,75.59
87,77.89
88,78.36
89,76.64
90,77.43
91,75.5
92,76.54
93,77.31
94,77.19
95,75.89
96,77.31
97,78.31
98,79.09
99,79.6
100,78.52
