Round,TestAcc
1,22.6
2,10.11
3,29.5
4,27.6
5,35.16
6,26.69
7,45.6
8,40.21
9,33.98
10,40.59
11,48.85
12,52.98
13,50.5
14,36.22
15,40.85
16,51.91
17,53.87
18,43.39
19,54.15
20,41.06
21,47.22
22,53.19
23,57.0
24,54.19
25,65.35
26,50.51
27,57.1
28,56.22
29,55.22
30,63.42
31,57.42
32,45.98
33,64.19
34,61.42
35,76.38
36,62.27
37,69.46
38,61.18
39,74.43
40,57.86
41,64.14
42,64.75
43,62.58
44,76.09
45,61.13
46,73.99
47,59.07
48,67.13
49,64.02
50,64.51
51,75.17
52,59.25
53,77.3
54,65.34
55,69.17
56,67.6
57,74.24
58,68.71
59,72.54
60,66.98
61,76.79
62,67.1
63,67.2
64,68.44
65,73.01
66,66.23
67,72.16
68,67.88
69,81.93
70,71.72
71,70.72
72,76.2
73,68.83
74,79.1
75,72.72
76,73.61
77,74.64
78,73.97
79,78.69
80,70.17
81,79.58
82,71.52
83,77.4
84,72.03
85,73.76
86,73.9
87,77.62
88,75.44
89,70.79
90,78.7
91,73.26
92,74.87
93,73.14
94,78.43
95,75.21
96,80.79
97,75.65
98,78.01
99,74.08
100,82.2
