Round,TestAcc
1,25.39
2,12.39
3,36.41
4,37.03
5,22.01
6,30.75
7,28.79
8,40.67
9,35.52
10,51.9
11,45.04
12,35.73
13,46.83
14,41.28
15,57.47
16,63.8
17,55.2
18,56.17
19,32.66
20,48.38
21,51.7
22,20.53
23,51.32
24,17.27
25,48.85
26,48.85
27,62.3
28,53.57
29,22.34
30,56.57
31,57.75
32,60.45
33,61.26
34,65.26
35,67.31
36,66.69
37,48.73
38,60.44
39,61.1
40,69.2
41,60.46
42,69.44
43,61.38
44,41.88
45,66.68
46,71.12
47,62.16
48,69.81
49,67.43
50,53.4
51,60.21
52,64.9
53,59.62
54,68.22
55,63.23
56,66.53
57,67.49
58,71.74
59,69.23
60,67.92
61,72.17
62,69.76
63,65.86
64,74.14
65,67.56
66,70.07
67,66.17
68,73.89
69,69.46
70,48.96
71,67.82
72,72.67
73,68.62
74,71.09
75,68.82
76,75.29
77,71.22
78,72.09
79,71.89
80,69.02
81,69.83
82,70.11
83,73.61
84,67.45
85,75.76
86,66.31
87,68.47
88,72.42
89,72.23
90,79.2
91,71.91
92,72.82
93,71.77
94,77.44
95,71.07
96,77.5
97,69.85
98,75.03
99,68.54
100,73.44
