Round,TestAcc
1,10.57
2,12.91
3,22.67
4,29.52
5,29.54
6,31.85
7,34.25
8,36.08
9,36.66
10,39.01
11,41.86
12,43.17
13,43.54
14,45.05
15,45.84
16,47.82
17,50.36
18,49.48
19,51.53
20,54.13
21,54.55
22,54.11
23,56.29
24,55.97
25,56.15
26,57.37
27,58.23
28,58.81
29,58.04
30,59.66
31,59.87
32,58.85
33,59.59
34,60.0
35,60.99
36,61.33
37,62.48
38,63.17
39,63.64
40,65.2
41,64.2
42,68.04
43,67.6
44,67.89
45,68.39
46,67.8
47,67.68
48,67.1
49,66.73
50,66.73
51,65.76
52,67.34
53,66.57
54,67.43
55,69.76
56,68.95
57,68.39
58,69.2
59,69.56
60,69.34
61,69.05
62,69.59
63,68.86
64,67.68
65,67.14
66,68.1
67,68.32
68,69.92
69,71.34
70,70.32
71,73.17
72,71.33
73,73.32
74,72.7
75,72.82
76,72.65
77,71.99
78,72.84
79,71.51
80,72.05
81,71.64
82,71.69
83,72.63
84,71.14
85,71.53
86,70.57
87,69.81
88,70.97
89,70.43
90,71.39
91,70.77
92,71.3
93,71.11
94,71.1
95,71.91
96,71.73
97,72.46
98,72.9
99,72.9
100,73.49
