Round,TestAcc
1,1.8
2,3.95
3,6.6
4,8.6
5,10.9
6,15.24
7,16.84
8,17.71
9,20.62
10,22.71
11,23.88
12,25.34
13,26.24
14,28.08
15,29.7
16,32.4
17,30.72
18,31.08
19,33.09
20,34.51
21,33.77
22,33.25
23,35.93
24,32.41
25,31.12
26,35.15
27,37.48
28,38.79
29,41.17
30,41.44
31,39.48
32,39.31
33,39.91
34,41.44
35,43.95
36,45.12
37,45.96
38,46.94
39,48.01
40,47.72
41,47.44
42,47.64
43,48.21
44,49.48
45,49.54
46,49.78
47,50.05
48,50.44
49,50.77
50,52.13
51,52.46
52,53.11
53,53.2
54,53.64
55,53.55
56,51.75
57,50.14
58,51.15
59,51.75
60,52.37
61,53.71
62,54.1
63,55.34
64,55.88
65,55.24
66,55.22
67,54.47
68,56.29
69,56.06
70,56.05
71,55.04
72,55.13
73,54.06
74,53.22
75,53.75
76,55.53
77,56.54
78,56.76
79,58.19
80,57.61
81,58.79
82,59.38
83,58.71
84,58.3
85,59.1
86,59.29
87,60.07
88,59.07
89,59.82
90,58.7
91,59.85
92,59.99
93,59.97
94,60.27
95,59.75
96,59.86
97,60.49
98,60.25
99,60.43
100,60.74
