Round,TestAcc
1,1.99
2,3.87
3,7.03
4,8.93
5,11.72
6,15.53
7,17.24
8,18.24
9,22.98
10,25.6
11,27.35
12,29.06
13,29.98
14,34.2
15,35.48
16,36.71
17,38.34
18,39.11
19,41.44
20,41.65
21,43.92
22,44.61
23,45.89
24,42.88
25,46.86
26,48.49
27,48.54
28,48.35
29,50.08
30,50.19
31,51.59
32,51.15
33,52.35
34,53.01
35,53.51
36,54.02
37,54.77
38,54.07
39,54.79
40,55.22
41,55.69
42,55.77
43,56.18
44,56.09
45,56.64
46,57.43
47,57.51
48,57.94
49,58.34
50,59.03
51,59.03
52,59.44
53,59.8
54,59.96
55,59.58
56,59.2
57,60.87
58,60.78
59,60.84
60,61.27
61,60.65
62,61.03
63,62.0
64,62.18
65,62.0
66,62.08
67,62.34
68,62.75
69,62.3
70,63.5
71,63.35
72,62.46
73,63.05
74,63.65
75,63.28
76,64.07
77,64.11
78,64.44
79,64.78
80,63.88
81,65.08
82,65.01
83,65.3
84,64.87
85,65.22
86,65.18
87,65.46
88,65.84
89,65.61
90,65.9
91,65.87
92,66.04
93,65.93
94,66.15
95,65.81
96,66.73
97,66.83
98,66.36
99,66.79
100,66.76
