Round,TestAcc
1,2.59
2,5.17
3,7.96
4,10.43
5,13.56
6,16.7
7,20.38
8,20.28
9,22.27
10,23.95
11,26.39
12,27.76
13,28.88
14,30.26
15,32.45
16,33.35
17,33.94
18,34.19
19,33.89
20,35.46
21,33.83
22,34.4
23,34.22
24,35.15
25,35.92
26,37.51
27,39.48
28,39.12
29,40.18
30,39.09
31,38.32
32,39.33
33,41.14
34,42.63
35,44.35
36,44.78
37,45.08
38,45.68
39,45.33
40,46.2
41,46.16
42,44.49
43,45.46
44,46.19
45,45.86
46,46.31
47,46.82
48,47.56
49,47.67
50,48.95
51,49.74
52,50.25
53,50.58
54,51.65
55,51.21
56,49.23
57,48.06
58,49.05
59,48.65
60,50.97
61,51.4
62,52.35
63,52.07
64,51.39
65,51.69
66,51.41
67,52.18
68,51.94
69,52.19
70,51.62
71,50.99
72,51.63
73,51.84
74,49.43
75,50.67
76,52.23
77,53.81
78,53.35
79,54.04
80,53.26
81,54.81
82,54.68
83,55.45
84,55.82
85,55.79
86,56.58
87,56.78
88,56.88
89,57.26
90,56.6
91,56.88
92,57.38
93,57.5
94,57.68
95,57.81
96,57.22
97,57.34
98,57.29
99,57.18
100,57.95
