Round,TestAcc
1,3.37
2,3.06
3,4.59
4,8.56
5,11.99
6,14.69
7,13.67
8,13.35
9,20.74
10,19.23
11,16.64
12,24.97
13,24.25
14,28.23
15,28.56
16,26.4
17,29.05
18,34.64
19,23.69
20,37.62
21,25.23
22,35.58
23,36.17
24,37.53
25,40.53
26,37.3
27,41.41
28,37.2
29,39.84
30,42.82
31,39.59
32,45.72
33,46.03
34,47.85
35,38.9
36,47.82
37,38.05
38,42.85
39,48.38
40,36.96
41,46.01
42,49.77
43,51.14
44,49.49
45,51.46
46,50.53
47,49.11
48,51.42
49,52.63
50,48.29
51,50.5
52,53.59
53,50.49
54,49.8
55,54.33
56,53.45
57,50.03
58,54.22
59,54.06
60,53.73
61,52.69
62,54.1
63,56.18
64,45.06
65,55.84
66,49.92
67,55.7
68,53.51
69,55.59
70,56.69
71,49.51
72,56.7
73,55.72
74,42.03
75,58.25
76,43.58
77,51.78
78,57.52
79,55.65
80,58.72
81,56.02
82,58.58
83,54.24
84,56.82
85,58.44
86,56.28
87,59.14
88,40.79
89,57.58
90,59.55
91,56.94
92,60.31
93,40.61
94,58.11
95,58.53
96,58.9
97,60.05
98,58.55
99,53.55
100,60.19
