Round,TestAcc
1,1.94
2,5.14
3,8.47
4,8.35
5,8.67
6,12.57
7,18.94
8,19.24
9,25.21
10,26.23
11,27.86
12,29.82
13,31.94
14,34.93
15,36.47
16,37.46
17,38.11
18,39.33
19,40.49
20,40.41
21,41.24
22,42.44
23,43.12
24,43.59
25,44.37
26,45.33
27,46.03
28,45.77
29,47.37
30,47.26
31,47.63
32,47.97
33,48.62
34,49.18
35,50.43
36,49.35
37,50.44
38,50.44
39,51.6
40,51.07
41,51.52
42,51.54
43,51.91
44,52.84
45,52.94
46,53.75
47,53.94
48,53.84
49,54.46
50,54.06
51,54.43
52,54.48
53,54.87
54,55.13
55,54.95
56,55.23
57,55.37
58,56.42
59,56.11
60,56.03
61,56.6
62,56.95
63,56.43
64,56.76
65,56.42
66,57.29
67,57.0
68,57.64
69,57.27
70,57.24
71,58.38
72,58.1
73,58.48
74,57.61
75,59.09
76,58.69
77,59.16
78,58.56
79,58.52
80,58.84
81,59.36
82,58.86
83,60.02
84,59.3
85,60.01
86,59.22
87,59.32
88,59.95
89,60.23
90,59.8
91,60.78
92,60.29
93,60.77
94,60.3
95,60.88
96,60.66
97,60.71
98,60.75
99,60.91
100,60.37
