Round,TestAcc
1,3.03
2,4.41
3,6.54
4,7.71
5,9.75
6,10.81
7,12.7
8,14.1
9,16.81
10,14.46
11,21.45
12,20.96
13,28.03
14,16.64
15,22.95
16,25.94
17,18.32
18,28.49
19,29.52
20,33.94
21,27.24
22,33.52
23,34.39
24,23.2
25,21.3
26,31.45
27,36.6
28,40.21
29,41.6
30,42.66
31,41.4
32,46.0
33,46.28
34,46.48
35,46.89
36,45.71
37,37.0
38,46.07
39,47.36
40,47.84
41,50.42
42,49.46
43,50.04
44,51.41
45,46.24
46,46.7
47,48.64
48,47.93
49,49.55
50,50.91
51,50.21
52,49.51
53,54.33
54,53.48
55,49.12
56,50.27
57,53.83
58,53.05
59,52.17
60,53.92
61,54.93
62,51.77
63,55.52
64,55.28
65,51.05
66,56.85
67,55.09
68,54.74
69,53.83
70,52.83
71,52.67
72,56.19
73,54.75
74,55.67
75,56.38
76,56.81
77,58.08
78,58.11
79,55.47
80,56.2
81,58.47
82,58.7
83,58.86
84,55.54
85,58.92
86,59.31
87,58.24
88,58.3
89,55.43
90,59.25
91,58.39
92,59.62
93,60.17
94,60.05
95,58.93
96,60.06
97,60.75
98,54.16
99,58.6
100,57.48
