Round,TestAcc
1,10.7375
2,9.9125
3,10.7125
4,10.0375
5,10.0
6,11.8625
7,17.4875
8,13.325
9,22.875
10,25.325
11,26.7625
12,25.625
13,26.2
14,25.8
15,26.5
16,26.375
17,25.4625
18,25.875
19,25.9875
20,26.1375
21,27.0625
22,27.1625
23,29.125
24,31.3
25,31.3625
26,31.0875
27,29.225
28,27.3625
29,27.7375
30,27.625
31,27.95
32,28.1125
33,28.5625
34,27.4125
35,30.675
36,30.1125
37,29.3
38,30.1375
39,28.3375
40,29.1375
41,28.275
42,28.8
43,28.8
44,28.175
45,29.225
46,29.475
47,27.65
48,27.475
49,29.925
50,29.725
51,29.4875
52,29.725
53,30.6375
54,28.1875
55,29.5125
56,26.7
57,29.8375
58,28.4125
59,27.05
60,27.075
61,28.75
62,28.2625
63,29.675
64,27.5875
65,31.2125
66,29.0
67,31.4875
68,32.05
69,33.25
70,33.125
71,28.4125
72,30.45
73,29.1375
74,33.5125
75,28.125
76,27.075
77,28.4875
78,29.1625
79,34.8625
80,30.8
81,31.175
82,34.2625
83,33.35
84,31.925
85,30.7
86,28.65
87,31.325
88,33.9625
89,34.5625
90,34.525
91,33.8
92,31.5
93,30.55
94,30.9625
95,30.175
96,29.8875
97,28.025
98,32.35
99,35.775
100,35.675
