Round,TestAcc
1,9.6125
2,10.0375
3,17.8375
4,24.7375
5,21.675
6,25.7375
7,25.8625
8,27.1125
9,22.25
10,29.225
11,24.9875
12,30.825
13,24.5875
14,29.15
15,27.95
16,27.5625
17,25.1875
18,27.375
19,25.625
20,28.6375
21,20.0625
22,31.05
23,24.175
24,19.8625
25,22.25
26,31.15
27,28.375
28,33.3625
29,27.3625
30,29.225
31,25.0625
32,27.8875
33,29.95
34,29.575
35,30.775
36,31.825
37,27.4125
38,31.3125
39,24.65
40,23.9875
41,29.8
42,31.1625
43,31.95
44,32.55
45,31.65
46,32.65
47,35.5
48,23.7125
49,34.4125
50,29.325
51,35.225
52,28.4375
53,36.6
54,30.05
55,35.7625
56,25.2625
57,36.25
58,26.675
59,36.525
60,36.75
61,37.1
62,34.975
63,38.9125
64,37.5
65,37.85
66,38.2
67,35.225
68,34.45
69,37.825
70,33.5625
71,35.8
72,34.575
73,39.4625
74,25.775
75,37.5
76,33.2625
77,38.9875
78,33.8375
79,35.625
80,39.9
81,41.475
82,39.075
83,38.875
84,33.775
85,38.05
86,38.2875
87,42.6625
88,35.425
89,38.9375
90,30.6125
91,39.2
92,31.9125
93,40.1
94,32.4375
95,39.2875
96,35.175
97,40.9
98,34.25
99,40.25
100,36.875
