Round,TestAcc
1,9.9875
2,15.15
3,17.775
4,18.1125
5,22.325
6,19.625
7,21.95
8,19.65
9,23.0375
10,23.6125
11,25.825
12,17.975
13,20.4875
14,25.0125
15,12.9375
16,19.7625
17,22.3625
18,18.7
19,22.4875
20,18.25
21,16.2125
22,21.8875
23,18.8125
24,24.75
25,23.925
26,20.9125
27,24.8125
28,19.5375
29,24.8
30,27.025
31,20.575
32,24.25
33,22.15
34,25.6
35,21.7125
36,24.5625
37,17.875
38,22.85
39,15.8625
40,25.5
41,29.5375
42,24.4
43,30.225
44,21.7625
45,22.325
46,25.6875
47,25.9125
48,25.0875
49,19.3
50,24.8125
51,28.7
52,27.45
53,29.5875
54,27.075
55,29.5125
56,25.375
57,30.1
58,31.925
59,23.55
60,27.575
61,24.075
62,26.0375
63,36.375
64,25.0
65,22.4375
66,32.5625
67,28.1
68,25.7375
69,28.575
70,35.1375
71,26.6875
72,33.4
73,34.8875
74,26.5375
75,31.55
76,29.2875
77,38.0875
78,27.0375
79,41.4625
80,26.7875
81,37.7625
82,23.4875
83,36.4
84,27.6875
85,23.025
86,23.5375
87,35.1
88,30.625
89,36.0125
90,34.6125
91,34.2125
92,28.8
93,32.5125
94,30.6125
95,32.175
96,37.7
97,29.7875
98,34.6125
99,28.5875
100,29.0625
