Round,TestAcc
1,9.975
2,10.175
3,19.375
4,22.7375
5,16.975
6,24.2875
7,20.7875
8,24.725
9,19.9875
10,25.825
11,24.275
12,23.175
13,26.55
14,23.7125
15,27.1625
16,24.8125
17,29.225
18,28.2
19,30.3625
20,29.8125
21,29.2875
22,31.625
23,29.2625
24,24.4
25,26.475
26,37.075
27,27.025
28,33.925
29,29.0125
30,34.4875
31,25.975
32,31.9125
33,32.4625
34,29.3875
35,42.05
36,32.3375
37,36.4625
38,32.6875
39,33.0375
40,30.8625
41,38.6375
42,35.0625
43,40.5
44,31.825
45,38.125
46,29.9
47,37.0
48,29.8375
49,39.425
50,34.5625
51,38.3
52,31.3875
53,37.0625
54,31.875
55,37.1
56,33.7625
57,40.3125
58,31.625
59,42.25
60,30.65
61,38.2625
62,35.05
63,32.6625
64,33.4625
65,27.2375
66,35.425
67,33.8125
68,36.5125
69,37.4375
70,34.75
71,37.875
72,34.0875
73,37.4875
74,29.0625
75,35.375
76,36.25
77,40.925
78,41.0125
79,45.025
80,37.9125
81,42.9375
82,33.65
83,42.8625
84,36.0375
85,45.2875
86,36.4375
87,41.675
88,42.15
89,39.1625
90,42.9875
91,36.15
92,41.2375
93,37.8375
94,35.675
95,36.0375
96,35.875
97,40.975
98,36.0875
99,39.75
100,36.9
