Round,TestAcc
1,10.0
2,11.2875
3,16.9125
4,22.25
5,21.0
6,23.2625
7,21.1375
8,21.8
9,26.5
10,21.025
11,21.6875
12,22.0375
13,20.2
14,22.7625
15,21.8625
16,10.1375
17,21.0375
18,25.9125
19,27.8875
20,15.3375
21,25.3375
22,26.4
23,18.55
24,10.0
25,21.9875
26,20.0375
27,20.975
28,22.7
29,22.25
30,23.4
31,31.7125
32,16.2375
33,26.8625
34,24.1625
35,20.275
36,20.75
37,13.825
38,26.275
39,16.5875
40,28.6875
41,20.075
42,32.1625
43,21.55
44,28.425
45,23.625
46,23.625
47,25.325
48,25.7375
49,28.6625
50,25.975
51,19.125
52,21.425
53,30.8375
54,24.125
55,29.3125
56,27.475
57,32.85
58,31.2875
59,23.75
60,32.425
61,26.6
62,26.1375
63,22.0125
64,25.6375
65,24.6375
66,32.6
67,22.3625
68,26.125
69,26.4625
70,30.05
71,24.275
72,31.0
73,33.2375
74,30.925
75,25.65
76,23.1875
77,27.2875
78,25.6375
79,35.2625
80,26.075
81,33.625
82,18.95
83,26.225
84,32.7125
85,34.2375
86,30.1125
87,27.9125
88,26.075
89,31.6875
90,29.125
91,30.3875
92,23.9375
93,20.0
94,29.175
95,36.7875
96,33.4875
97,31.475
98,35.2
99,25.75
100,35.5375
