Round,TestAcc
1,10.0
2,10.0
3,10.0
4,10.0125
5,11.6375
6,21.8625
7,22.525
8,24.675
9,28.675
10,29.95
11,31.7375
12,32.1875
13,32.0625
14,30.75
15,31.025
16,31.3125
17,30.425
18,29.6625
19,30.875
20,31.4625
21,34.8875
22,32.775
23,34.2875
24,36.475
25,38.5625
26,38.975
27,38.9625
28,39.7375
29,38.9625
30,36.6125
31,31.6
32,34.325
33,33.4625
34,35.7625
35,37.3375
36,38.9625
37,41.6625
38,39.2
39,40.7625
40,37.0875
41,32.75
42,32.1875
43,35.9875
44,33.025
45,36.4875
46,35.875
47,40.0875
48,41.6375
49,42.35
50,38.5
51,41.275
52,39.8375
53,41.2
54,41.775
55,39.7875
56,40.575
57,44.6375
58,42.425
59,44.125
60,42.4
61,43.0125
62,39.05
63,41.275
64,36.425
65,38.45
66,41.175
67,43.075
68,43.025
69,42.4125
70,42.675
71,38.2625
72,37.625
73,39.8375
74,43.75
75,41.075
76,41.7875
77,41.85
78,41.55
79,43.3
80,42.5875
81,44.6
82,38.9875
83,37.575
84,40.9375
85,46.4125
86,45.3
87,46.25
88,45.9625
89,42.95
90,45.35
91,44.575
92,45.2875
93,43.9875
94,45.925
95,47.975
96,47.125
97,43.5625
98,46.7875
99,44.325
100,45.45
