Round,TestAcc
1,10.7
2,11.6625
3,19.2
4,26.85
5,24.6125
6,28.575
7,23.075
8,29.9375
9,20.7375
10,32.1625
11,24.9625
12,32.225
13,27.9
14,32.5
15,27.3
16,29.2875
17,22.775
18,30.025
19,29.6625
20,34.3625
21,20.175
22,31.1125
23,25.5875
24,19.5875
25,25.5125
26,33.075
27,32.3375
28,34.65
29,33.7625
30,26.9125
31,31.825
32,32.2875
33,33.525
34,33.15
35,33.4
36,32.35
37,34.475
38,32.425
39,32.5875
40,30.7875
41,30.075
42,33.15
43,31.4375
44,34.9
45,29.95
46,34.3
47,30.2625
48,33.7375
49,31.9625
50,35.7375
51,34.1125
52,38.0375
53,33.4125
54,35.25
55,36.7125
56,32.4375
57,31.1375
58,30.4375
59,33.3875
60,35.875
61,36.8125
62,37.425
63,35.5625
64,37.8875
65,35.9
66,38.4375
67,35.4
68,42.025
69,39.8625
70,41.3375
71,35.05
72,43.8625
73,38.325
74,40.0625
75,39.425
76,45.325
77,39.325
78,42.4125
79,34.4875
80,40.8125
81,36.8
82,43.2875
83,39.8
84,46.7125
85,39.2125
86,45.775
87,40.7625
88,43.95
89,37.5125
90,41.95
91,37.775
92,43.625
93,38.45
94,44.625
95,37.0625
96,46.2625
97,35.125
98,43.5375
99,40.0625
100,47.4
