Round,TestAcc
1,10.0
2,15.8625
3,21.7375
4,24.675
5,26.575
6,24.975
7,18.1375
8,16.75
9,25.2125
10,27.1
11,27.5625
12,20.925
13,23.5625
14,18.3875
15,23.9875
16,23.05
17,18.7375
18,27.6625
19,31.15
20,20.6375
21,35.15
22,28.025
23,25.5875
24,26.0125
25,36.5
26,24.125
27,28.775
28,35.375
29,33.725
30,28.2875
31,31.4625
32,34.875
33,34.7875
34,35.8625
35,32.5625
36,31.0375
37,23.175
38,24.5625
39,30.05
40,15.15
41,29.6375
42,29.1875
43,32.2
44,32.0625
45,31.3
46,27.45
47,31.8625
48,30.7625
49,33.275
50,40.75
51,41.9875
52,33.8125
53,30.3125
54,27.35
55,39.325
56,31.8875
57,37.9625
58,30.3
59,31.0
60,41.025
61,41.325
62,44.1375
63,50.3125
64,27.2375
65,41.4375
66,32.775
67,42.9875
68,40.95
69,41.0
70,38.7875
71,41.25
72,40.3625
73,42.1125
74,36.9125
75,38.7125
76,21.5875
77,33.475
78,45.3125
79,41.2375
80,45.6375
81,41.0
82,41.35
83,44.375
84,35.65
85,45.0125
86,39.1
87,48.975
88,43.125
89,40.75
90,42.2875
91,52.25
92,46.2875
93,40.125
94,52.4
95,37.0125
96,45.7
97,38.3875
98,43.8375
99,44.6125
100,49.6125
