Round,TestAcc
1,10.025
2,17.05
3,30.55
4,24.65
5,30.55
6,22.3625
7,33.05
8,27.9875
9,30.1125
10,29.325
11,29.1125
12,32.7375
13,29.9125
14,40.0875
15,32.175
16,37.0375
17,32.4875
18,39.225
19,33.1375
20,45.3875
21,34.875
22,43.9375
23,29.3625
24,31.9375
25,28.975
26,41.025
27,30.7625
28,42.35
29,29.7
30,35.1125
31,32.7125
32,40.55
33,35.525
34,42.2375
35,38.875
36,45.025
37,34.525
38,44.3
39,40.5
40,49.85
41,42.175
42,51.9
43,39.625
44,53.2375
45,37.875
46,49.325
47,34.2875
48,47.7375
49,35.475
50,48.325
51,35.7375
52,47.35
53,39.3375
54,47.2625
55,43.375
56,36.6375
57,41.575
58,49.1125
59,35.5
60,44.6625
61,36.925
62,41.1625
63,40.3
64,44.4625
65,40.2375
66,48.4625
67,44.3625
68,46.05
69,47.3875
70,42.5875
71,46.7125
72,42.25
73,48.6
74,49.3375
75,49.6625
76,49.7
77,47.5125
78,47.725
79,45.5125
80,45.55
81,45.4
82,48.2375
83,42.8875
84,47.475
85,46.4125
86,48.825
87,46.475
88,47.2375
89,42.8375
90,47.225
91,39.3375
92,48.2125
93,39.0875
94,52.5625
95,41.6125
96,53.9125
97,41.95
98,54.575
99,37.0625
100,50.7625
