Round,TestAcc
1,10.0
2,20.575
3,20.1
4,25.8625
5,20.7125
6,20.475
7,28.55
8,22.85
9,22.05
10,28.4125
11,20.775
12,25.1375
13,19.575
14,26.4375
15,21.45
16,32.0625
17,27.7125
18,30.475
19,27.8
20,27.9875
21,25.8125
22,30.9
23,35.0625
24,14.9125
25,23.6125
26,32.3875
27,20.8
28,22.375
29,17.1375
30,32.575
31,31.3375
32,34.9
33,27.7375
34,33.75
35,33.075
36,40.1125
37,32.2625
38,39.175
39,30.25
40,30.925
41,37.875
42,33.8
43,31.325
44,30.0625
45,30.975
46,31.925
47,36.1375
48,33.4375
49,45.275
50,40.425
51,37.5
52,36.3625
53,29.775
54,31.45
55,47.675
56,37.8625
57,49.1625
58,30.2125
59,35.5625
60,37.3375
61,36.0625
62,41.125
63,43.9625
64,34.3375
65,34.7
66,39.0375
67,45.5875
68,31.15
69,40.3125
70,35.55
71,50.45
72,46.65
73,38.15
74,36.7875
75,41.5875
76,34.0625
77,40.0
78,31.0
79,42.8875
80,32.2
81,45.1625
82,45.4625
83,51.5875
84,43.175
85,43.1
86,39.3875
87,40.0875
88,35.675
89,45.0625
90,35.9375
91,49.6875
92,44.5875
93,33.0125
94,43.5375
95,31.75
96,42.45
97,39.8625
98,44.8375
99,44.775
100,53.0125
