Round,TestAcc
1,0.47
2,0.59
3,0.65
4,0.59
5,0.69
6,0.71
7,1.69
8,2.74
9,4.09
10,4.7
11,5.16
12,5.45
13,5.61
14,6.53
15,9.38
16,11.13
17,13.42
18,13.9
19,14.99
20,15.86
21,15.6
22,16.91
23,18.53
24,19.45
25,20.66
26,21.7
27,22.76
28,23.3
29,24.42
30,24.38
31,25.24
32,25.75
33,26.29
34,26.92
35,27.35
36,28.15
37,28.84
38,29.18
39,29.21
40,30.22
41,30.54
42,31.19
43,31.58
44,32.04
45,32.46
46,33.14
47,33.77
48,33.88
49,33.75
50,34.57
51,35.02
52,34.65
53,35.28
54,35.53
55,36.0
56,36.16
57,36.45
58,37.29
59,36.96
60,37.51
61,38.17
62,37.42
63,38.2
64,38.85
65,39.19
66,39.55
67,39.8
68,40.02
69,40.06
70,40.4
71,39.84
72,40.16
73,40.14
74,40.68
75,40.92
76,41.52
77,41.24
78,42.19
79,42.21
80,42.5
81,42.38
82,42.58
83,42.86
84,42.88
85,42.8
86,43.51
87,43.06
88,43.32
89,43.02
90,43.48
91,43.84
92,43.89
93,44.08
94,44.33
95,44.21
96,44.32
97,44.74
98,44.93
99,44.8
100,44.97
