Round,TestAcc
1,0.88
2,2.16
3,4.13
4,6.9
5,9.56
6,12.15
7,14.5
8,16.08
9,17.23
10,18.94
11,21.21
12,23.47
13,23.43
14,24.43
15,24.77
16,26.14
17,26.86
18,28.43
19,29.12
20,29.21
21,29.7
22,29.88
23,30.13
24,28.05
25,27.25
26,29.47
27,30.37
28,31.24
29,33.3
30,33.5
31,31.95
32,32.78
33,34.42
34,35.52
35,36.53
36,37.7
37,38.12
38,37.94
39,37.64
40,38.49
41,38.43
42,37.83
43,39.01
44,39.29
45,40.16
46,39.91
47,40.73
48,41.16
49,41.3
50,41.79
51,41.93
52,42.52
53,42.46
54,42.63
55,43.35
56,43.36
57,42.62
58,42.74
59,43.04
60,43.42
61,43.77
62,44.51
63,43.95
64,43.96
65,44.48
66,44.04
67,44.38
68,44.82
69,44.93
70,45.24
71,44.86
72,45.07
73,44.55
74,44.28
75,44.66
76,44.49
77,45.3
78,45.78
79,45.69
80,45.94
81,46.34
82,46.55
83,46.63
84,46.63
85,47.09
86,46.98
87,47.25
88,46.54
89,46.32
90,46.55
91,46.63
92,46.86
93,47.19
94,46.93
95,46.78
96,46.11
97,46.45
98,47.1
99,47.26
100,47.55
