Round,TestAcc
1,0.84
2,1.59
3,3.24
4,6.36
5,7.82
6,6.76
7,9.38
8,11.57
9,10.7
10,15.31
11,19.13
12,14.56
13,16.34
14,21.39
15,12.68
16,23.01
17,23.88
18,18.33
19,26.98
20,13.8
21,26.02
22,26.34
23,22.02
24,27.85
25,27.82
26,26.86
27,28.43
28,27.46
29,30.64
30,30.86
31,33.57
32,28.63
33,34.53
34,35.45
35,33.65
36,35.39
37,36.84
38,29.81
39,33.25
40,37.32
41,36.19
42,34.96
43,37.4
44,39.75
45,23.47
46,39.96
47,23.82
48,41.0
49,37.91
50,38.2
51,39.58
52,38.6
53,39.97
54,42.43
55,41.65
56,42.04
57,42.04
58,41.51
59,41.73
60,43.73
61,41.6
62,43.92
63,38.91
64,44.46
65,41.43
66,44.03
67,41.52
68,43.71
69,43.56
70,30.46
71,45.11
72,39.44
73,43.8
74,43.01
75,44.8
76,45.36
77,42.84
78,45.1
79,44.36
80,45.92
81,45.13
82,45.92
83,46.62
84,42.35
85,40.95
86,46.84
87,43.16
88,47.05
89,32.18
90,46.89
91,44.87
92,45.08
93,47.58
94,41.57
95,47.53
96,46.04
97,48.23
98,45.71
99,47.58
100,47.43
