Round,TestAcc
1,0.76
2,2.32
3,4.9
4,8.01
5,10.51
6,13.83
7,16.08
8,17.74
9,21.02
10,22.83
11,24.25
12,25.87
13,26.32
14,28.21
15,28.32
16,30.05
17,30.84
18,32.14
19,32.72
20,33.37
21,34.48
22,35.33
23,35.93
24,34.83
25,37.72
26,38.37
27,38.84
28,39.24
29,39.96
30,40.13
31,40.66
32,41.0
33,41.79
34,41.61
35,42.46
36,43.29
37,43.12
38,43.06
39,43.42
40,43.82
41,43.96
42,44.61
43,45.14
44,45.18
45,45.87
46,45.43
47,46.04
48,46.34
49,46.29
50,46.39
51,47.02
52,47.14
53,47.45
54,47.64
55,47.75
56,47.7
57,48.56
58,48.18
59,48.04
60,48.4
61,48.48
62,48.36
63,48.4
64,49.03
65,49.06
66,49.25
67,49.34
68,49.43
69,49.63
70,49.68
71,49.35
72,49.97
73,50.57
74,50.11
75,50.55
76,50.01
77,50.43
78,50.58
79,50.43
80,50.62
81,50.46
82,50.58
83,50.64
84,50.36
85,50.66
86,50.97
87,50.74
88,51.29
89,51.4
90,51.3
91,51.2
92,51.04
93,51.46
94,50.93
95,51.16
96,51.11
97,51.63
98,51.34
99,51.35
100,51.56
