Round,TestAcc
1,0.82
2,1.21
3,2.4
4,5.26
5,4.85
6,7.8
7,8.26
8,11.52
9,12.95
10,15.94
11,9.62
12,16.68
13,15.01
14,20.46
15,21.82
16,22.74
17,18.97
18,23.22
19,19.73
20,19.58
21,22.94
22,21.54
23,27.27
24,24.63
25,20.98
26,29.42
27,31.44
28,25.59
29,17.64
30,26.08
31,29.78
32,33.95
33,35.79
34,36.54
35,36.27
36,37.16
37,30.09
38,38.53
39,39.49
40,37.52
41,35.48
42,36.09
43,36.9
44,36.15
45,40.08
46,41.16
47,39.36
48,40.98
49,41.67
50,36.41
51,35.37
52,40.59
53,36.65
54,41.24
55,40.33
56,43.27
57,40.05
58,44.05
59,44.4
60,41.11
61,43.57
62,45.2
63,44.25
64,44.41
65,45.27
66,41.77
67,44.56
68,45.45
69,44.65
70,39.26
71,44.83
72,45.97
73,45.31
74,45.1
75,46.6
76,46.41
77,44.31
78,44.33
79,44.96
80,46.96
81,45.89
82,46.46
83,46.46
84,45.48
85,44.64
86,34.88
87,47.11
88,46.08
89,47.48
90,46.6
91,47.7
92,46.83
93,47.58
94,44.64
95,45.7
96,48.24
97,46.7
98,44.87
99,46.86
100,47.62
