Round,TestAcc
1,0.42
2,0.58
3,0.51
4,1.11
5,0.75
6,0.95
7,1.17
8,3.1
9,4.1
10,5.51
11,6.59
12,8.5
13,9.96
14,12.06
15,13.87
16,15.49
17,17.4
18,19.65
19,21.22
20,22.28
21,23.16
22,23.98
23,25.27
24,25.64
25,26.68
26,27.96
27,29.01
28,29.23
29,29.9
30,30.09
31,30.85
32,31.47
33,31.62
34,32.15
35,32.73
36,33.23
37,34.21
38,34.35
39,35.25
40,35.31
41,36.13
42,36.53
43,37.52
44,37.28
45,37.17
46,38.05
47,38.15
48,38.27
49,38.4
50,38.76
51,38.92
52,39.54
53,39.99
54,40.43
55,40.96
56,40.36
57,41.13
58,41.67
59,41.07
60,41.83
61,41.99
62,41.96
63,42.17
64,42.65
65,42.72
66,42.9
67,42.62
68,43.27
69,43.09
70,43.38
71,43.38
72,43.88
73,43.67
74,44.32
75,44.93
76,44.42
77,45.31
78,44.89
79,45.3
80,44.99
81,45.28
82,45.13
83,46.06
84,45.15
85,45.86
86,45.67
87,45.75
88,45.88
89,46.22
90,46.28
91,46.22
92,45.86
93,46.09
94,46.5
95,46.12
96,45.8
97,46.72
98,46.26
99,46.6
100,46.63
