Round,TestAcc
1,2.15
2,4.05
3,6.35
4,8.68
5,12.18
6,16.41
7,18.19
8,20.04
9,21.11
10,20.88
11,23.96
12,25.77
13,26.24
14,27.44
15,28.03
16,29.07
17,29.67
18,30.93
19,31.46
20,31.77
21,32.19
22,31.68
23,32.18
24,29.84
25,27.21
26,30.54
27,32.48
28,33.49
29,33.22
30,33.8
31,34.05
32,36.48
33,37.19
34,38.13
35,38.6
36,39.28
37,39.8
38,39.76
39,39.14
40,39.55
41,37.59
42,38.02
43,38.69
44,39.4
45,39.07
46,39.63
47,40.36
48,41.7
49,41.64
50,42.01
51,41.75
52,42.26
53,42.67
54,43.05
55,42.31
56,42.29
57,40.0
58,41.2
59,41.97
60,42.51
61,43.06
62,43.65
63,42.31
64,42.6
65,43.31
66,43.58
67,43.78
68,44.19
69,44.64
70,44.74
71,44.21
72,43.88
73,42.63
74,41.62
75,40.39
76,42.04
77,43.49
78,43.99
79,44.56
80,44.1
81,44.17
82,44.93
83,44.84
84,45.79
85,45.76
86,45.67
87,45.01
88,44.92
89,45.34
90,45.36
91,45.7
92,45.81
93,46.35
94,45.96
95,45.89
96,45.79
97,45.9
98,46.21
99,46.43
100,46.49
