Round,TestAcc
1,1.09
2,3.15
3,5.13
4,9.66
5,12.71
6,12.08
7,14.49
8,10.63
9,20.28
10,21.96
11,17.01
12,26.74
13,23.98
14,27.35
15,26.52
16,27.93
17,27.39
18,32.64
19,25.6
20,35.84
21,24.91
22,33.68
23,35.27
24,34.84
25,38.16
26,35.07
27,36.83
28,34.83
29,35.38
30,39.82
31,37.18
32,42.0
33,41.25
34,43.21
35,33.3
36,42.95
37,35.75
38,37.39
39,44.26
40,36.19
41,41.52
42,45.28
43,45.23
44,42.78
45,45.22
46,44.81
47,44.1
48,46.87
49,45.94
50,41.6
51,45.35
52,46.32
53,44.3
54,42.77
55,48.13
56,47.29
57,44.4
58,46.67
59,46.68
60,47.36
61,46.41
62,47.93
63,48.53
64,41.61
65,48.53
66,44.48
67,48.69
68,45.76
69,49.42
70,48.51
71,43.58
72,48.49
73,48.24
74,40.66
75,49.53
76,37.91
77,46.14
78,48.83
79,48.21
80,49.68
81,47.42
82,49.77
83,47.44
84,48.13
85,49.29
86,47.92
87,49.97
88,40.06
89,48.98
90,49.66
91,48.83
92,49.59
93,40.26
94,49.35
95,48.79
96,49.53
97,49.81
98,49.01
99,46.14
100,49.72
