Round,TestAcc
1,1.63
2,4.41
3,7.56
4,10.54
5,13.67
6,17.74
7,19.83
8,22.14
9,25.54
10,26.42
11,28.52
12,29.97
13,31.09
14,32.51
15,33.0
16,34.31
17,34.79
18,36.67
19,37.1
20,36.71
21,38.53
22,39.24
23,39.47
24,38.64
25,40.81
26,41.85
27,42.14
28,42.41
29,42.26
30,43.05
31,43.37
32,43.86
33,44.28
34,44.36
35,44.72
36,45.08
37,46.06
38,45.33
39,45.89
40,46.31
41,46.25
42,46.63
43,46.75
44,47.22
45,46.97
46,47.1
47,47.17
48,47.66
49,47.64
50,47.6
51,48.04
52,48.43
53,47.83
54,48.02
55,48.4
56,48.62
57,48.56
58,48.24
59,48.75
60,49.37
61,49.31
62,49.16
63,49.55
64,49.29
65,49.29
66,49.23
67,48.9
68,49.56
69,49.74
70,49.47
71,50.13
72,49.86
73,49.89
74,49.83
75,50.01
76,49.71
77,49.74
78,49.94
79,49.59
80,49.83
81,49.84
82,50.49
83,50.58
84,49.95
85,50.37
86,50.42
87,49.89
88,50.25
89,50.33
90,50.36
91,50.43
92,50.16
93,50.41
94,50.3
95,50.09
96,50.43
97,50.41
98,50.87
99,50.41
100,50.5
