Round,TestAcc
1,1.53
2,3.05
3,4.92
4,8.26
5,8.05
6,7.37
7,11.86
8,15.33
9,18.44
10,15.21
11,21.88
12,21.97
13,26.94
14,16.35
15,21.59
16,22.09
17,15.94
18,15.59
19,26.88
20,31.16
21,29.05
22,32.67
23,33.79
24,34.68
25,36.98
26,33.7
27,39.04
28,19.71
29,28.78
30,37.69
31,38.27
32,40.32
33,41.86
34,41.58
35,42.25
36,42.9
37,44.17
38,36.33
39,41.16
40,42.38
41,44.03
42,36.49
43,43.34
44,40.66
45,45.67
46,44.49
47,45.21
48,44.69
49,45.95
50,45.65
51,44.27
52,46.74
53,45.08
54,46.42
55,42.8
56,39.57
57,46.59
58,47.24
59,46.9
60,47.08
61,47.4
62,47.67
63,48.31
64,43.17
65,48.45
66,48.38
67,47.39
68,47.16
69,48.52
70,47.83
71,48.59
72,46.75
73,48.55
74,46.17
75,47.59
76,47.95
77,48.61
78,48.74
79,49.26
80,49.59
81,49.22
82,48.92
83,49.21
84,48.56
85,49.07
86,48.81
87,49.21
88,49.41
89,49.65
90,49.46
91,48.22
92,47.89
93,39.15
94,49.66
95,47.88
96,38.72
97,48.74
98,49.63
99,49.66
100,49.43
