dataset,backbone,method,window,csv,n_rounds,source
CIFAR-10,ResNet,Ours,31,data/cifar10/resnet/ours.csv,100,/userhome/cs3/duanty/FedMoE/results/exp01-c10-resnet-e8-ours/20260921-052753/rounds.csv
CIFAR-10,ResNet,FedRolex,31,data/cifar10/resnet/fedrolex.csv,100,/userhome/cs3/duanty/FedMoE/results/exp01-c10-resnet-e8-fedrolex/20260921-052756/rounds.csv
CIFAR-10,ResNet,Random,31,data/cifar10/resnet/random.csv,100,/userhome/cs3/duanty/FedMoE/results/exp01-c10-resnet-e8-random/20260921-052756/rounds.csv
CIFAR-10,ResNet,FedAvg,31,data/cifar10/resnet/fedavg.csv,100,/userhome/cs3/duanty/FedMoE/results/exp01-c10-resnet-e8-zerofill/20260921-052753/rounds.csv
CIFAR-10,ResNet,FedAdam,31,data/cifar10/resnet/fedadam.csv,100,/userhome/cs3/duanty/FedMoE/results/exp01-c10-resnet-e8-fedadam-tau1e2/20260921-065743/rounds.csv
CIFAR-10,VGG11,Ours,31,data/cifar10/vgg11/ours.csv,100,/userhome/cs3/duanty/FedMoE/results/exp01-c10-vgg11-e8-ours/20260921-081723/rounds.csv
CIFAR-10,VGG11,FedRolex,31,data/cifar10/vgg11/fedrolex.csv,100,/userhome/cs3/duanty/FedMoE/results/exp01-c10-vgg11-e8-fedrolex/20260921-082015/rounds.csv
CIFAR-10,VGG11,Random,31,data/cifar10/vgg11/random.csv,100,/userhome/cs3/duanty/FedMoE/results/exp01-c10-vgg11-e8-random/20260921-082747/rounds.csv
CIFAR-10,VGG11,FedAvg,31,data/cifar10/vgg11/fedavg.csv,100,/userhome/cs3/duanty/FedMoE/results/exp01-c10-vgg11-e8-zerofill/20260921-085300/rounds.csv
CIFAR-10,VGG11,FedAdam,31,data/cifar10/vgg11/fedadam.csv,100,/userhome/cs3/duanty/FedMoE/results/exp01-c10-vgg11-e8-fedadam-tau1e2/20260921-094018/rounds.csv
CIFAR-100,ResNet,Ours,15,data/cifar100/resnet/ours.csv,100,/userhome/cs3/duanty/FedMoE/results/exp01-c100-resnet-e8-ours/20260921-103621/rounds.csv
CIFAR-100,ResNet,FedRolex,15,data/cifar100/resnet/fedrolex.csv,100,/userhome/cs3/duanty/FedMoE/results/exp01-c100-resnet-e8-fedrolex/20260921-103632/rounds.csv
