Round,Client,BudgetK,CoverageOurs,CoverageFedRolex,CoverageRandom
1,1,1,0.4325275349456474,0.4325275349456474,0.049179045230536164
1,2,2,0.5995149649655107,0.1368872750384803,0.42144674887647166
1,3,8,1.0,1.0,1.0
1,4,4,0.7718359831594309,0.6178490520648043,0.38215094793519583
1,5,8,1.0,1.0,1.0000000000000002
1,6,8,1.0,1.0,1.0
1,7,5,0.8185221370682629,0.8035593622178516,0.43240804163639535
1,8,8,1.0,1.0,1.0
1,9,3,0.7025991883230975,0.5539438848900335,0.18371374541263355
1,10,4,0.7252921995701554,0.2849551460467458,0.7252921995701554
2,1,1,0.4325275349456474,0.06957877830463013,0.049179045230536164
2,2,1,0.3647723473519634,0.07279574411202877,0.06409153092645155
2,3,8,1.0,1.0,1.0
2,4,1,0.43886315817696153,0.06488578091482258,0.19016501581907044
2,5,1,0.36936295096077104,0.06457863083507345,0.06468312130506462
2,6,1,0.38948275765838336,0.38948275765838336,0.06845518284294543
2,7,4,0.7522816341656526,0.7356518210917458,0.26060014995226877
2,8,1,0.371066734292847,0.07537090971594086,0.21253995786766391
2,9,3,0.7025991883230975,0.18371374541263355,0.17740270775008846
2,10,8,1.0,1.0,1.0
3,1,6,0.8976596751506358,0.49789368674972245,0.350975678081072
3,2,5,0.8127715167771565,0.7933064726158555,0.4926256561903437
3,3,1,0.4052564387758567,0.05730494502276975,0.24161556949743912
3,4,5,0.8312801370577885,0.823788436871351,0.6724688020339957
3,5,2,0.6037138228049734,0.13445705046504913,0.30312526154886493
3,6,1,0.38948275765838336,0.06397343173869821,0.06397343173869821
3,7,1,0.4410414336837369,0.4410414336837369,0.06790754112610582
3,8,1,0.371066734292847,0.06645385274228845,0.07217715415057215
3,9,4,0.7685281381595609,0.39174762293641363,0.24357099566975401
3,10,4,0.7252921995701554,0.43428273313266536,0.4388298422739348
4,1,1,0.4325275349456474,0.053161279618828015,0.053161279618828015
4,2,1,0.3647723473519634,0.3647723473519634,0.3647723473519634
4,3,8,1.0,1.0,1.0
4,4,3,0.7069502022446084,0.3275311979660044,0.5762293403238954
4,5,6,0.8716283842797496,0.8655809868420483,0.5659539277341645
